AcquireX Precursor Intensities,DDA Precursor Intensities,Log Ax,Log DDA
1568352.00,2097206.25,6.20,6.32
1464861.00,1483478.25,6.17,6.17
1532731.38,1374997.00,6.19,6.14
1355241.75,1348344.25,6.13,6.13
1256730.88,1280071.50,6.10,6.11
1242421.00,1267060.38,6.09,6.10
1241816.88,1226986.38,6.09,6.09
1311089.00,1123839.00,6.12,6.05
1277093.25,1169542.25,6.11,6.07
1159026.88,1076078.00,6.06,6.03
1107806.13,951983.81,6.04,5.98
957014.44,945835.50,5.98,5.98
890284.31,775690.31,5.95,5.89
1147983.25,954229.94,6.06,5.98
819380.25,881394.94,5.91,5.95
762190.88,775583.13,5.88,5.89
411766.44,726524.69,5.61,5.86
602034.63,723804.50,5.78,5.86
604882.63,756032.88,5.78,5.88
494308.56,654100.63,5.69,5.82
475531.72,648095.75,5.68,5.81
414912.03,599290.19,5.62,5.78
312934.41,542576.13,5.50,5.73
490647.94,654353.94,5.69,5.82
478034.56,609002.81,5.68,5.78
450581.69,526701.94,5.65,5.72
395667.31,518526.56,5.60,5.71
285639.38,443678.19,5.46,5.65
391621.72,487376.41,5.59,5.69
390632.72,470699.97,5.59,5.67
384840.63,454419.75,5.59,5.66
343121.50,453983.66,5.54,5.66
253466.16,447194.13,5.40,5.65
399255.63,508917.09,5.60,5.71
390762.97,48786356.00,5.59,7.69
356826.69,487456.69,5.55,5.69
328979.03,484483.44,5.52,5.69
320398.53,402136.28,5.51,5.60
2421352.75,426384.63,6.38,5.63
257492.14,18242304.00,5.41,7.26
1115749.75,11931973.00,6.05,7.08
211566.03,8651648.00,5.33,6.94
463064.97,4660133.50,5.67,6.67
1154032.63,4362143.50,6.06,6.64
941273.19,5195301.00,5.97,6.72
394714.34,3057220.00,5.60,6.49
1034638.50,2693848.50,6.01,6.43
725755.13,2170607.50,5.86,6.34
1500902.63,566722.31,6.18,5.75
290821.78,2246151.00,5.46,6.35
274855.34,1668814.88,5.44,6.22
352208.88,1335560.13,5.55,6.13
331150.16,1289523.25,5.52,6.11
631585.75,1228919.50,5.80,6.09
481457.03,1387912.75,5.68,6.14
544158.13,1273078.63,5.74,6.10
458854.09,1197091.88,5.66,6.08
502663.53,1114573.13,5.70,6.05
365806.19,960774.06,5.56,5.98
285697.06,955901.75,5.46,5.98
329223.88,884516.19,5.52,5.95
307505.09,880540.56,5.49,5.94
513718.41,805029.56,5.71,5.91
294045.22,427492.03,5.47,5.63
383281.75,821782.44,5.58,5.91
377868.59,722965.44,5.58,5.86
442048.06,709119.25,5.65,5.85
420578.75,640095.00,5.62,5.81
873018.25,684370.19,5.94,5.84
363447.06,713667.88,5.56,5.85
438216.34,684400.88,5.64,5.84
277736.91,679052.69,5.44,5.83
245845.14,603144.69,5.39,5.78
344238.16,551845.31,5.54,5.74
331942.41,568948.63,5.52,5.76
191554.77,556424.63,5.28,5.75
287498.13,519824.88,5.46,5.72
358540.66,421454.44,5.55,5.62
1245249.25,460068.78,6.10,5.66
600713.63,48402752.00,5.78,7.68
524204.72,455250.03,5.72,5.66
227217.95,452697.66,5.36,5.66
328849.22,430611.22,5.52,5.63
873157.25,475918.81,5.94,5.68
525339.88,17698880.00,5.72,7.25
1325812.50,448816.72,6.12,5.65
435977.19,448242.25,5.64,5.65
191980.98,360258.91,5.28,5.56
303249.75,395843.25,5.48,5.60
