Rk	Team	G	Pts/G	TotPts	Scrm Plys	Yds/G	Yds/P	1st/G	3rd Md	3rd Att	3rd Pct	4th Md	4th Att	4th Pct	Pen	Pen Yds	ToP/G	FUM	Lost
1	Seattle Seahawks	2	9.5	19	112	248.5	4.4	14.0	6	26	23	0	1	0	13	118	27:42	2	0
2	Baltimore Ravens	2	13.5	27	107	273.5	5.1	14.0	11	28	39	3	3	100	16	148	28:04	3	0
3	Houston Texans	2	13	26	114	274.5	4.8	14.0	7	27	26	0	2	0	13	107	24:51	5	3
4	Philadelphia Eagles	1	10	10	50	288.0	5.8	14.0	2	10	20	0	2	0	4	15	20:40	2	0
5	Minnesota Vikings	2	15	30	129	289.5	4.5	19.5	14	27	52	0	1	0	8	82	30:04	6	4
6	Denver Broncos	2	20	40	134	293.0	4.4	20.0	15	29	52	1	1	100	16	179	30:49	1	1
7	Carolina Panthers	2	24	48	121	304.5	5.0	18.5	9	24	38	1	2	50	10	72	25:52	2	2
8	New York Giants	2	16	32	134	308.0	4.6	20.0	13	30	43	0	0	0	13	126	31:18	0	0
9	Los Angeles Rams	2	15.5	31	138	313.0	4.5	22.5	12	30	40	1	2	50	12	124	31:06	5	2
10	Green Bay Packers	2	20	40	125	316.0	5.1	17.5	8	29	28	4	6	67	22	216	30:50	3	1
11	Jacksonville Jaguars	2	32.5	65	123	325.5	5.3	21.5	14	27	52	1	1	100	8	47	31:44	2	1
12	Arizona Cardinals	2	15	30	142	334.5	4.7	20.0	15	29	52	0	1	0	13	108	32:28	4	3
13	Tennessee Titans	2	20	40	128	338.0	5.3	18.5	13	30	43	0	0	0	20	177	29:22	0	0
14	Chicago Bears	1	23	23	72	344.0	4.8	17.0	12	20	60	0	0	0	6	69	36:19	1	0
15	Cincinnati Bengals	2	23	46	140	357.0	5.1	20.5	11	29	38	0	1	0	12	149	33:54	1	0
15	San Francisco 49ers	2	23	46	138	357.0	5.2	18.0	10	30	33	1	2	50	18	167	31:52	3	3
17	Kansas City Chiefs	2	23	46	138	369.5	5.4	20.0	11	30	37	1	1	100	10	74	34:00	0	0
18	Dallas Cowboys	2	21.5	43	119	374.0	6.3	21.0	10	22	46	0	1	0	12	91	25:13	1	0
19	New York Jets	2	27	54	106	387.0	7.3	17.0	6	21	29	1	2	50	11	103	22:58	1	0
20	Cleveland Browns	2	27	54	144	392.5	5.5	22.5	15	31	48	1	2	50	11	75	35:10	2	0
21	Tampa Bay Buccaneers	2	32	64	129	395.0	6.1	19.5	9	27	33	1	2	50	10	104	30:43	0	0
22	Pittsburgh Steelers	2	16	32	128	398.0	6.2	19.5	7	26	27	1	3	33	14	86	26:54	3	2
23	Buffalo Bills	2	25	50	136	400.5	5.9	23.0	14	28	50	0	1	0	13	85	36:02	3	2
23	San Diego Chargers	2	23.5	47	133	400.5	6.0	23.0	7	25	28	3	4	75	20	139	28:07	1	1
25	New England Patriots	2	22.5	45	120	401.5	6.7	22.0	11	22	50	0	1	0	11	107	24:38	4	2
26	Detroit Lions	2	25.5	51	128	406.5	6.4	23.5	14	28	50	1	1	100	17	128	30:08	1	0
27	Miami Dolphins	2	21.5	43	154	408.5	5.3	25.0	12	30	40	2	3	67	15	134	35:39	4	2
27	Washington Redskins	2	32.5	65	132	408.5	6.2	23.5	15	26	58	3	3	100	10	120	33:04	4	1
29	Atlanta Falcons	2	29.5	59	131	412.5	6.3	24.5	8	21	38	1	2	50	15	106	30:11	1	0
30	Indianapolis Colts	2	36.5	73	129	424.0	6.6	26.0	10	20	50	0	0	0	16	124	30:38	0	0
31	New Orleans Saints	2	25.5	51	139	451.5	6.5	23.5	11	26	42	0	1	0	17	166	32:16	4	3
32	Oakland Raiders	2	34.5	69	129	517.5	8.0	27.0	9	21	43	1	1	100	14	126	28:25	2	1
