Mass	Polarity	Intensity	Start	End
150.0258942	Positive	80912719.84	9.689760488	9.989760488
150.0261688	Positive	15036220.81	12.42910904	12.72910904
150.0263519	Positive	23258225.34	9.571580029	9.871580029
150.0580902	Positive	1619148.131	0.285817881	0.585817881
150.0627594	Positive	938171.9984	7.967233055	8.267233055
150.062851	Positive	1065886.394	3.67974541	3.97974541
150.0630188	Positive	286410.995	5.581944327	5.881944327
150.0910492	Positive	73361999.64	0.287399318	0.587399318
150.0991516	Positive	889692.2943	3.878777307	4.178777307
151.0269165	Positive	5114532.727	9.68852111	9.98852111
151.0272827	Positive	1644282.19	9.571449102	9.871449102
151.0386658	Positive	190260.8857	4.421408332	4.721408332
151.0750885	Positive	889473.2352	3.877590029	4.177590029
151.0963287	Positive	1277711.393	10.11567172	10.41567172
151.1114349	Positive	2200505.955	3.538308046	3.838308046
151.1115112	Positive	1947978.057	3.408711072	3.708711072
151.1478424	Positive	106340.2926	0.028448036	0.328448036
151.1478729	Positive	1074056.807	3.875003473	4.175003473
151.1479034	Positive	107643.4008	0	0.256417072
151.1479187	Positive	2531099.593	8.785738628	9.085738628
151.1480408	Positive	2841341.898	8.95942571	9.25942571
152.0503845	Positive	65887.01852	8.679105811	8.979105811
152.0563812	Positive	139720.7872	0.132158696	0.432158696
152.0567017	Positive	1856582.474	0.384094575	0.684094575
152.0585632	Positive	106672.6787	9.198162341	9.498162341
152.0615997	Positive	1079049.033	7.911746993	8.211746993
152.0616455	Positive	1936549.795	9.185699197	9.485699197
152.0616608	Positive	1496535.077	7.663008624	7.963008624
153.0655212	Positive	243592.6535	7.193910168	7.493910168
153.065567	Positive	101924.2237	10.79712728	11.09712728
152.1068268	Positive	42592540.09	0.418606983	0.718606983
152.1275635	Positive	202071.4006	0.401969949	0.701969949
152.1279144	Positive	308815.1431	0.030672354	0.330672354
153.0177307	Positive	1588640.289	5.609149748	5.909149748
153.0178528	Positive	840718.8857	5.351767097	5.651767097
153.017868	Positive	179952.9109	0.156552382	0.456552382
153.0575714	Positive	152079.1005	10.50426301	10.80426301
153.0695038	Positive	232323.3068	7.410373703	7.710373703
153.0695038	Positive	267686.7832	7.434549978	7.734549978
153.0695038	Positive	1502608.181	7.661460676	7.961460676
153.0695038	Positive	1088654.571	7.908426474	8.208426474
153.069519	Positive	924926.1892	7.686378531	7.986378531
153.0695801	Positive	242499.6926	7.200458862	7.500458862
153.1017609	Positive	141969.003	7.209177262	7.509177262
153.1020355	Positive	86831.49523	0	0.229808657
153.1271362	Positive	11285078.96	8.785286377	9.085286377
153.1271515	Positive	3519695.581	3.418950962	3.718950962
153.1271515	Positive	5580820.945	4.833362886	5.133362886
153.1272125	Positive	2782950.294	4.494991005	4.794991005
153.1272125	Positive	5605581.867	6.050017527	6.350017527
153.1272125	Positive	6340012.393	6.14832652	6.44832652
153.1272583	Positive	427178.7186	0.023520933	0.323520933
153.1272888	Positive	1459958.048	6.214929395	6.514929395
153.1272888	Positive	12912877.44	8.957140437	9.257140437
153.1273346	Positive	3681068.942	8.063286271	8.363286271
154.0260315	Positive	3076779.149	0.218181617	0.518181617
154.0621948	Positive	3104994.735	5.920161313	6.220161313
154.085968	Positive	582226.3876	0.373627025	0.673627025
155.0701447	Positive	304823.8245	0.036345713	0.336345713
155.1064911	Positive	305157.5805	0.038520493	0.338520493
155.1427612	Positive	1209437.622	7.425705761	7.725705761
155.142807	Positive	2066070.543	7.180799723	7.480799723
156.0764465	Positive	1921997.725	0.188346538	0.488346538
156.0806427	Positive	77606.56913	2.488405397	2.788405397
156.0806885	Positive	347691.6847	2.80455001	3.10455001
156.1016235	Positive	99942.45719	0	0.231997757
156.1016235	Positive	648896.6534	0.323880976	0.623880976
156.1382446	Positive	84512.10685	9.006039849	9.306039849
156.1744843	Positive	6418676.122	9.660123902	9.960123902
157.0129852	Positive	3885494.713	0.157831116	0.457831116
157.0758209	Positive	235112.2139	1.373061984	1.673061984
157.0834503	Positive	135432.3072	0	0.20869756
157.0970612	Positive	110593.6555	13.29003145	13.59003145
157.1080933	Positive	337224.0964	0.184640948	0.484640948
157.1080933	Positive	185208.2125	0.24426095	0.54426095
157.1698456	Positive	325853.741	6.836436889	7.136436889
158.0724335	Positive	71294.68192	3.034292091	3.334292091
158.0809479	Positive	3074158.425	0.287210222	0.587210222
158.0810089	Positive	4787898.969	0.344506341	0.644506341
158.0921478	Positive	4603484.425	0.209470266	0.509470266
158.0962677	Positive	608755.2584	3.098224282	3.398224282
158.0963287	Positive	5047463.762	3.273449747	3.573449747
158.096344	Positive	13000867.5	2.802904367	3.102904367
158.1087646	Positive	106684.015	4.862075574	5.162075574
158.117157	Positive	957458.7605	0.273638597	0.573638597
158.1537933	Positive	5494941.91	7.487718798	7.787718798
158.1538239	Positive	454349.5333	0.025663849	0.325663849
158.5630341	Positive	196889.454	9.659858089	9.959858089
158.9759521	Positive	845111.8723	9.388689439	9.688689439
159.0649719	Positive	251573.7802	0.175792409	0.475792409
159.0801392	Positive	245433.2886	4.860211895	5.160211895
159.0801697	Positive	373298.5334	9.342385436	9.642385436
159.0803223	Positive	104357.9731	10.40070459	10.70070459
159.0833282	Positive	985254.6739	7.964678379	8.264678379
159.083374	Positive	246555.5988	7.575837709	7.875837709
159.0834656	Positive	209776.4048	9.845647891	10.14564789
159.0835114	Positive	1651254.433	8.024194902	8.324194902
159.1015015	Positive	1591740.726	6.467727921	6.767727921
159.1015472	Positive	752334.4502	6.34632129	6.64632129
159.1016235	Positive	119799.7049	0.024314091	0.324314091
159.1016388	Positive	313332.6812	6.771017271	7.071017271
159.1165466	Positive	934543.864	4.867621782	5.167621782
159.1165924	Positive	1005942.631	9.548730194	9.848730194
159.1166077	Positive	491216.7355	2.760783625	3.060783625
159.1167297	Positive	3376942.013	9.464819038	9.764819038
159.116745	Positive	1996333.662	2.710080101	3.010080101
159.5088806	Positive	75111.65822	12.2677362	12.5677362
160.075531	Positive	513166.6388	3.364557835	3.664557835
160.096405	Positive	54547087.75	0.228972056	0.528972056
160.0964813	Positive	79364739.23	0.181763367	0.481763367
160.1243896	Positive	281305.245	11.87467702	12.17467702
160.1244049	Positive	1103307.582	9.548832406	9.848832406
160.1331635	Positive	162685.4218	4.671589851	4.971589851
161.0409851	Positive	115166.0702	0.434446938	0.734446938
161.0442505	Positive	745297.1926	0.156839551	0.456839551
161.0443726	Positive	2240058.246	0.429200888	0.729200888
161.0592651	Positive	73502255.35	11.0917821	11.3917821
161.0593567	Positive	903010.1156	10.88652407	11.18652407
161.059433	Positive	31567101.2	11.26488568	11.56488568
161.0594482	Positive	3706452.625	3.878616557	4.178616557
161.0594482	Positive	295167.5537	10.91509006	11.21509006
161.059494	Positive	14023472.93	3.494130464	3.794130464
161.0595551	Positive	4641944.475	4.04712949	4.34712949
161.0595703	Positive	3788877.099	3.24987968	3.54987968
161.0595856	Positive	1258068.566	4.829726504	5.129726504
161.0805969	Positive	1680769.623	10.19379887	10.49379887
161.095871	Positive	27947134.9	9.101223901	9.401223901
161.0959167	Positive	22891946.49	9.463624722	9.763624722
161.0959778	Positive	8043639.5	8.65894415	8.95894415
161.1102753	Positive	52694.00723	4.495997642	4.795997642
161.1132355	Positive	236963.2645	5.082879276	5.382879276
161.1167145	Positive	296261.7769	4.239952146	4.539952146
161.1167297	Positive	3313129.302	4.569330331	4.869330331
161.1169281	Positive	47128407.82	5.183145456	5.483145456
161.1169434	Positive	16691489.9	5.306765166	5.606765166
161.1169739	Positive	2356997.826	5.522762279	5.822762279
161.1170197	Positive	202878.235	2.686292568	2.986292568
161.1170654	Positive	3455830.571	4.631865439	4.931865439
161.1170807	Positive	3985785.381	5.591482238	5.891482238
