Week;Year;GID;Name;Pos;Team;h/a;Oppt;FD points;FD salary
14;2015;1412;Wilson, Russell;QB;sea;a;bal;32.28;8500
14;2015;1225;Manning, Eli;QB;nyg;a;mia;27.28;7500
14;2015;1442;Bortles, Blake;QB;jac;h;ind;25.7;7700
14;2015;1242;Fitzpatrick, Ryan;QB;nyj;h;ten;24.82;7800
14;2015;1378;Newton, Cam;QB;car;h;atl;23;9200
14;2015;1466;Mariota, Marcus;QB;ten;a;nyj;22.86;7500
14;2015;1415;Cousins, Kirk;QB;was;a;chi;22.3;7000
14;2015;1207;Palmer, Carson;QB;ari;h;min;20.7;8300
14;2015;1151;Brees, Drew;QB;nor;a;tam;20.48;7900
14;2015;1252;Rodgers, Aaron;QB;gnb;h;dal;19.42;8900
14;2015;1263;Cutler, Jay;QB;chi;h;was;19.1;6700
14;2015;1400;Taylor, Tyrod;QB;buf;a;phi;19.02;7500
14;2015;1131;Brady, Tom;QB;nwe;a;hou;18.04;9300
14;2015;1467;McCarron, A.J.;QB;cin;h;pit;18;5000
14;2015;1340;Stafford, Matthew;QB;det;a;stl;17.3;7500
14;2015;1410;Tannehill, Ryan;QB;mia;h;nyg;15.84;6900
14;2015;1439;Bridgewater, Teddy;QB;min;a;ari;15.7;6000
14;2015;1438;Manziel, Johnny;QB;cle;h;sfo;15.3;6400
14;2015;1254;Smith, Alex;QB;kan;h;sdg;14.64;6800
14;2015;1465;Winston, Jameis;QB;tam;h;nor;13.68;7800
14;2015;1381;Gabbert, Blaine;QB;sfo;a;cle;13.66;6400
14;2015;1414;Osweiler, Brock;QB;den;h;oak;13.32;6900
14;2015;1344;Bradford, Sam;QB;phi;h;buf;13.18;6300
14;2015;1441;Carr, Derek;QB;oak;a;den;13;7200
14;2015;1232;Roethlisberger, Ben;QB;pit;a;cin;10.88;8300
14;2015;1231;Rivers, Philip;QB;sdg;a;kan;9.92;7600
14;2015;1350;Clausen, Jimmy;QB;bal;h;sea;9.76;5000
14;2015;1060;Hasselbeck, Matt;QB;ind;a;jac;9.08;6600
14;2015;1301;Ryan, Matt;QB;atl;a;car;5.86;7100
14;2015;1241;Cassel, Matt;QB;dal;a;gnb;4.16;6200
14;2015;1435;Keenum, Case;QB;stl;h;det;4.16;5900
14;2015;1336;Hoyer, Brian;QB;hou;h;nwe;4.1;7000
14;2015;1403;Dalton, Andy;QB;cin;h;pit;1.36;8200
14;2015;1239;Anderson, Derek;QB;car;h;atl;1.24;5000
14;2015;1399;Yates, T.J.;QB;hou;h;nwe;0.16;6000
14;2015;1260;Jackson, Tarvaris;QB;sea;a;bal;0.06;5000
14;2015;1421;Manuel, E.J.;QB;buf;a;phi;0;5000
14;2015;1339;Sanchez, Mark;QB;phi;h;buf;0;5800
14;2015;5071;Webb, Joe;QB;car;h;atl;0;5000
14;2015;1430;Jones, Landry;QB;pit;a;cin;-0.1;6000
14;2015;1433;Tolzien, Scott;QB;gnb;h;dal;-0.3;5000
14;2015;1272;Whitehurst, Charlie;QB;ind;a;jac;-0.48;5000
14;2015;1423;Renfree, Sean;QB;atl;a;car;-0.56;5000
14;2015;2969;Crowell, Isaiah;RB;cle;h;sfo;27.9;5200
14;2015;2992;Gurley, Todd;RB;stl;h;det;27.2;7900
14;2015;2777;Starks, James;RB;gnb;h;dal;24.3;5600
14;2015;2500;Williams, DeAngelo;RB;pit;a;cin;22.1;7300
14;2015;2896;Lacy, Eddie;RB;gnb;h;dal;21.3;6200
14;2015;2859;Miller, Lamar;RB;mia;h;nyg;20.9;6600
14;2015;2819;Powell, Bilal;RB;nyj;h;ten;16.7;4800
14;2015;2604;Hightower, Tim;RB;nor;a;tam;16;4500
14;2015;2612;Stewart, Jonathan;RB;car;h;atl;15.4;7200
14;2015;2901;Robinson, Denard;RB;jac;h;ind;15.2;4800
14;2015;2858;Martin, Doug;RB;tam;h;nor;15.1;8000
14;2015;5395;Johnson, David;RB;ari;h;min;14.8;6500
14;2015;2553;Peterson, Adrian;RB;min;a;ari;13.1;8200
14;2015;2707;McCoy, LeSean;RB;buf;a;phi;12.9;7900
14;2015;2954;White, James;RB;nwe;a;hou;12;6300
14;2015;2613;Forte, Matt;RB;chi;h;was;11.8;7800
14;2015;2484;Sproles, Darren;RB;phi;h;buf;11.5;5100
14;2015;2741;Ivory, Chris;RB;nyj;h;ten;11.2;7100
14;2015;2658;Jennings, Rashad;RB;nyg;a;mia;11.2;4800
14;2015;2603;McFadden, Darren;RB;dal;a;gnb;11.1;6700
14;2015;2867;Turbin, Robert;RB;dal;a;gnb;11.1;4600
14;2015;2931;Sims, Charles;RB;tam;h;nor;10.4;4900
14;2015;2907;Riddick, Theo;RB;det;a;stl;9.7;5500
14;2015;2856;Hillman, Ronnie;RB;den;h;oak;9.6;6400
14;2015;3552;Jones, Matt;RB;was;a;chi;9.6;5100
14;2015;2894;Gillislee, Mike;RB;buf;a;phi;9.5;0
14;2015;2916;Whittaker, Fozzy;RB;car;h;atl;9.3;4500
14;2015;3953;McCluster, Dexter;RB;ten;a;nyj;9;4500
14;2015;2997;Johnson, Duke;RB;cle;h;sfo;8.9;5600
14;2015;2719;Bell, Joique;RB;det;a;stl;8.5;5000
14;2015;2871;Morris, Alfred;RB;was;a;chi;8.4;5500
14;2015;2991;Gordon, Melvin;RB;sdg;a;kan;8.3;5300
14;2015;2889;Bernard, Giovani;RB;cin;h;pit;8.2;5700
14;2015;5371;Langford, Jeremy;RB;chi;h;was;7.9;5400
14;2015;2988;Tipton, Zurlon;RB;ind;a;jac;7.7;0
14;2015;2940;Andrews, Antonio;RB;ten;a;nyj;7.54;5300
14;2015;2881;Grimes, Jonathan;RB;hou;h;nwe;7.2;4600
14;2015;2890;Burkhead, Rex;RB;cin;h;pit;7;4500
14;2015;2993;Yeldon, T.J.;RB;jac;h;ind;6.8;6400
14;2015;2467;Gore, Frank;RB;ind;a;jac;6.4;6100
14;2015;5370;Allen, Javorius;RB;bal;h;sea;6.3;7000
14;2015;2875;Draughn, Shaun;RB;sfo;a;cle;6.1;6500
14;2015;2879;Polk, Chris;RB;hou;h;nwe;5.8;5200
14;2015;2930;Freeman, Devonta;RB;atl;a;car;5.7;8700
14;2015;2995;Abdullah, Ameer;RB;det;a;stl;5.4;5400
14;2015;2987;West, Charcandrick;RB;kan;h;sdg;5.4;5800
14;2015;2721;Blount, LeGarrette;RB;nwe;a;hou;5.3;6300
14;2015;2754;Mathews, Ryan;RB;phi;h;buf;5.2;4700
14;2015;2914;Ware, Spencer;RB;kan;h;sdg;5.2;5800
14;2015;2874;Bolden, Brandon;RB;nwe;a;hou;5.1;5100
14;2015;2965;Thompson, Juwan;RB;den;h;oak;4.9;4600
14;2015;2831;Murray, DeMarco;RB;phi;h;buf;4.7;6700
14;2015;2869;Cadet, Travaris;RB;nor;a;tam;4.4;4500
14;2015;5402;Rawls, Thomas;RB;sea;a;bal;4.4;7400
14;2015;2873;Asiata, Matt;RB;min;a;ari;4;4500
14;2015;2647;Tolbert, Mike;RB;car;h;atl;4;4600
14;2015;2928;Hill, Jeremy;RB;cin;h;pit;3.4;6400
14;2015;2855;Herron, Dan;RB;ind;a;jac;3.1;4500
14;2015;2912;Line, Zach;RB;min;a;ari;2.9;0
14;2015;2689;Woodhead, Danny;RB;sdg;a;kan;2.8;5400
14;2015;2520;Jackson, Fred;RB;sea;a;bal;2.8;4500
14;2015;2899;Murray, Latavius;RB;oak;a;den;2.7;6200
14;2015;2911;Cunningham, Benny;RB;stl;h;det;2.7;4500
14;2015;2805;DiMarco, Patrick;RB;atl;a;car;2.5;4500
14;2015;2775;Spiller, C.J.;RB;nor;a;tam;2.4;4800
14;2015;2829;Ridley, Stevan;RB;nyj;h;ten;2.3;4500
14;2015;2802;Harris, DuJuan;RB;sfo;a;cle;2.2;0
14;2015;2549;Kuhn, John;RB;gnb;h;dal;2.1;4500
14;2015;2976;Darkwa, Orleans;RB;nyg;a;mia;2.1;4500
14;2015;2957;Williams, Damien;RB;mia;h;nyg;2.1;4600
14;2015;2909;Coleman, Derrick;RB;sea;a;bal;1.9;4500
14;2015;2932;Mason, Tre;RB;stl;h;det;1.8;4600
