k	Team	G	Pts/G	TotPts	Scrm Plys	Yds/G	Yds/P	1st/G	3rd Md	3rd Att	3rd Pct	4th Md	4th Att	4th Pct	Pen	Pen Yds	ToP/G	FUM	Lost
1	Denver Broncos	16	18,5	296	1,033	283.1	4.4	18.1	80	227	35	5	14	36	104	773	30:37	27	13
2	Seattle Seahawks	16	17,3	277	947	291.8	4.9	17.1	67	195	34	1	7	14	94	795	28:51	22	9
3	Houston Texans	16	19,6	313	986	310.2	5.0	17.6	61	214	28	7	12	58	116	991	29:12	20	11
4	New York Jets	16	19,6	314	1,013	318.6	5.0	16.9	77	232	33	13	23	56	90	767	29:21	22	12
5	Arizona Cardinals	16	19,6	313	982	321.7	5.2	17.8	75	210	36	8	17	47	130	1,202	27:56	31	14
6	Carolina Panthers	16	19,2	308	1,058	322.9	4.9	18.6	86	227	38	15	26	58	99	822	28:33	28	15
7	Kansas City Chiefs	16	17,9	287	1,037	329.3	5.1	19.6	72	217	33	13	27	48	110	941	29:05	19	7
8	Baltimore Ravens	16	25,1	401	1,000	337.4	5.4	19.4	86	216	40	4	9	44	103	748	30:36	18	8
9	New England Patriots	16	19,7	315	1,042	339.4	5.2	18.9	84	225	37	8	18	44	112	1,013	30:02	28	9
10	Tampa Bay Buccaneers	16	26,1	417	1,044	340.4	5.2	21.9	97	211	46	4	6	67	104	859	31:35	24	12
11	Cincinnati Bengals	16	17,4	279	1,032	340.8	5.3	19.2	86	218	39	9	20	45	116	1,063	29:49	11	7
12	Tennessee Titans	16	26,4	423	1,003	342.2	5.5	19.8	92	216	43	4	12	33	112	982	30:44	16	8
13	Minnesota Vikings	16	18,9	302	1,015	344.2	5.4	19.9	71	206	34	11	22	50	109	875	29:48	18	9
14	Chicago Bears	16	24,8	397	980	345.4	5.6	19.2	89	201	44	5	12	42	98	895	29:26	18	9
15	Green Bay Packers	16	20,2	323	1,014	346.7	5.5	18.8	79	220	36	10	21	48	120	1,107	29:52	19	6
16	Atlanta Falcons	16	21,6	345	996	347.6	5.6	20.9	82	191	43	5	15	33	95	728	28:25	15	8
17	Dallas Cowboys	16	23,4	374	998	347.9	5.6	19.8	81	208	39	5	10	50	113	898	29:08	12	3
18	Detroit Lions	16	25	400	999	349.6	5.6	19.9	82	200	41	5	8	62	96	785	29:17	24	9
19	Buffalo Bills	16	22,4	359	1,017	356.4	5.6	20.1	85	210	40	3	13	23	113	906	28:42	16	8
20	San Diego Chargers	16	24,9	398	959	361.9	6.0	18.7	74	195	38	7	8	88	120	976	28:41	14	9
21	Pittsburgh Steelers	16	19,9	319	1,055	363.1	5.5	20.4	90	225	40	7	24	29	121	1,149	30:54	27	13
22	Oakland Raiders	16	24,9	399	1,085	363.6	5.4	21.5	84	224	38	9	17	53	104	943	30:58	18	11
23	St. Louis Rams	16	20,6	330	1,091	367.8	5.4	20.0	78	225	35	4	15	27	109	992	33:12	28	13
24	Jacksonville Jaguars	16	28	448	1,102	375.0	5.4	22.6	105	227	46	6	12	50	114	989	32:47	16	9
25	Miami Dolphins	16	24,3	389	1,075	376.2	5.6	21.9	96	221	43	4	12	33	121	1,005	32:38	12	3
26	Indianapolis Colts	16	25,5	408	1,072	379.1	5.7	20.7	89	227	39	10	14	71	133	1,168	31:06	20	8
27	Cleveland Browns	16	27	432	998	379.2	6.1	20.1	81	203	40	10	15	67	108	833	30:08	18	10
28	Washington Redskins	16	23,7	379	1,010	380.6	6.0	20.6	78	207	38	11	20	55	112	955	28:26	36	16
29	San Francisco 49ers	16	24,2	387	1,081	387.4	5.7	22.2	82	210	39	6	11	54	112	920	34:09	10	3
30	Philadelphia Eagles	16	26,9	430	1,148	401.6	5.6	22.8	99	231	43	6	9	67	123	1,051	34:09	23	11
31	New Orleans Saints	16	29,8	476	996	413.4	6.6	23.8	71	176	40	10	13	77	114	887	28:59	29	13
32	New York Giants	16	27,6	442	1,105	420.3	6.1	22.9	108	230	47	8	14	57	120	1,077	32:03	28	13
