PassDRk	Team	G	Pts/G	TotPts	Comp	Att	Pct	Att/G	Yds	Avg	Yds/G	TD	Int	1st	1st%	Lng	20+	40+	Sck	Rate
1	Houston Texans	4	18.2	73	60	114	52.6	28.5	650	6.2	162.5	1	2	31	27.2	60	9	2	11	67.4
2	Denver Broncos	4	16	64	77	139	55.4	34.8	678	5.6	169.5	2	5	44	31.7	30	6	0	17	61.3
3	Baltimore Ravens	4	18	72	84	128	65.6	32.0	704	6.0	176.0	8	5	43	33.6	47	6	1	9	86.2
4	Seattle Seahawks	4	13.5	54	71	125	56.8	31.2	735	6.4	183.8	1	4	36	28.8	50	8	3	12	65.6
5	Jacksonville Jaguars	4	27.8	111	93	141	66.0	35.2	795	6.1	198.8	8	3	42	29.8	64T	10	4	12	92.7
6	Philadelphia Eagles	3	9	27	57	99	57.6	33.0	610	6.9	203.3	0	3	27	27.3	58	9	4	10	66.1
7	Arizona Cardinals	4	20	80	83	140	59.3	35.0	814	6.4	203.5	4	5	40	28.6	65T	12	1	11	72.7
8	Chicago Bears	4	24.2	97	85	129	65.9	32.2	840	6.8	210.0	4	3	43	33.3	47	9	1	6	86.1
9	Minnesota Vikings	3	13.3	40	67	113	59.3	37.7	633	6.6	211.0	3	5	36	31.9	39	8	0	15	69.5
10	Cincinnati Bengals	4	20.5	82	76	132	57.6	33.0	901	7.2	225.2	10	4	41	31.1	74T	12	5	9	92.6
11	Kansas City Chiefs	4	23	92	86	140	61.4	35.0	962	7.1	240.5	7	8	46	32.9	53	14	2	5	75.9
12	Tennessee Titans	4	21	84	86	145	59.3	36.2	963	6.9	240.8	4	4	49	33.8	47	14	2	6	77.9
13	San Francisco 49ers	4	26.8	107	86	139	61.9	34.8	998	7.5	249.5	8	4	42	30.2	78T	13	5	7	91.9
14	Carolina Panthers	4	29.5	118	81	127	63.8	31.8	1,030	8.6	257.5	8	5	53	41.7	75T	13	5	9	95.8
15	Tampa Bay Buccaneers	4	32	128	78	130	60.0	32.5	1,034	8.3	258.5	9	1	53	40.8	59	14	6	9	106.5
16	Cleveland Browns	4	28.8	115	93	148	62.8	37.0	1,039	7.3	259.8	10	5	58	39.2	42T	15	1	6	93.4
17	Buffalo Bills	4	17	68	89	144	61.8	36.0	1,042	7.8	260.5	2	4	56	38.9	66T	14	2	13	79.2
18	New York Giants	3	20.3	61	76	125	60.8	41.7	787	6.5	262.3	3	0	41	32.8	55T	9	2	4	88.0
19	Dallas Cowboys	4	19.2	77	93	146	63.7	36.5	1,054	7.4	263.5	7	3	55	37.7	57	16	2	6	93.5
20	New England Patriots	4	15.2	61	107	162	66.0	40.5	1,058	6.8	264.5	5	3	58	35.8	39	12	0	7	88.0
21	Detroit Lions	4	25.5	102	99	140	70.7	35.0	1,087	8.1	271.8	12	1	53	37.9	64	12	3	9	120.2
22	Miami Dolphins	4	22.2	89	97	147	66.0	36.8	1,088	7.9	272.0	5	1	54	36.7	51	16	3	10	98.4
23	Los Angeles Rams	4	19	76	107	175	61.1	43.8	1,100	6.6	275.0	5	4	58	33.1	53	12	1	7	80.5
24	Indianapolis Colts	4	31.2	125	98	144	68.1	36.0	1,108	7.9	277.0	5	1	60	41.7	44	11	3	7	100.4
25	Washington Redskins	4	28	112	102	145	70.3	36.2	1,122	8.0	280.5	5	4	59	40.7	42	14	1	8	94.2
26	New York Jets	4	26.2	105	90	126	71.4	31.5	1,140	9.7	285.0	8	2	49	38.9	84T	17	7	11	116.5
27	San Diego Chargers	4	27	108	112	171	65.5	42.8	1,158	7.2	289.5	7	6	60	35.1	63T	15	2	9	85.7
28	New Orleans Saints	4	32.5	130	104	152	68.4	38.0	1,205	8.2	301.2	5	1	57	37.5	57T	17	3	7	101.5
29	Green Bay Packers	3	22.3	67	74	111	66.7	37.0	922	8.9	307.3	6	2	42	37.8	73T	15	3	10	105.3
30	Pittsburgh Steelers	4	20	80	114	178	64.0	44.5	1,266	7.2	316.5	5	3	59	33.1	73T	15	2	5	87.8
31	Atlanta Falcons	4	31	124	124	179	69.3	44.8	1,268	7.2	317.0	13	4	66	36.9	48	18	2	4	104.8
32	Oakland Raiders	4	26.5	106	103	161	64.0	40.2	1,302	8.3	325.5	8	3	58	36.0	98T	18	6	5	98.6
