Rk	Player	Team	Pos	Comp	Att	Pct	Att/G	Yds	Avg	Yds/G	TD	Int	1st	1st%	Lng	20+	40+	Sck	Rate
1	Kirk Cousins	WAS	QB	79	124	63.7	41.3	989	8.0	329.7	3	3	44	35.5	57	13	3	4	86.4
2	Matthew Stafford	DET	QB	81	120	67.5	40.0	985	8.2	328.3	7	2	48	40.0	73T	13	2	8	105.0
3	Andy Dalton	CIN	QB	75	115	65.2	38.3	938	8.2	312.7	2	2	40	34.8	54T	16	3	12	89.0
4	Eli Manning	NYG	QB	76	107	71.0	35.7	925	8.6	308.3	4	3	42	39.3	45	12	2	6	98.1
5	Andrew Luck	IND	QB	76	124	61.3	41.3	913	7.4	304.3	6	2	41	33.1	63T	9	2	9	93.2
6	Ryan Tannehill	MIA	QB	73	113	64.6	37.7	892	7.9	297.3	5	4	41	36.3	50	15	2	6	88.8
7	Derek Carr	OAK	QB	79	118	66.9	39.3	867	7.3	289.0	5	1	44	37.3	43	12	1	2	99.1
8	Carson Palmer	ARI	QB	67	117	57.3	39.0	862	7.4	287.3	5	4	45	38.5	58	11	2	9	80.5
9	Blake Bortles	JAX	QB	79	127	62.2	42.3	843	6.6	281.0	5	6	39	30.7	38	12	0	9	75.0
10	Ben Roethlisberger	PIT	QB	70	118	59.3	39.3	816	6.9	272.0	6	4	37	31.4	53	13	4	6	83.2
11	Cam Newton	CAR	QB	63	108	58.3	36.0	809	7.5	269.7	5	5	37	34.3	78T	9	2	12	78.0
12	Philip Rivers	SD	QB	68	99	68.7	33.0	793	8.0	264.3	5	0	38	38.4	45T	11	4	6	109.5
13	Alex Smith	KC	QB	79	118	66.9	39.3	786	6.7	262.0	3	1	43	36.4	45	8	2	9	90.6
14	Joe Flacco	BAL	QB	76	118	64.4	39.3	774	6.6	258.0	3	4	39	33.1	66T	10	1	6	77.4
15	Carson Wentz	PHI	QB	66	102	64.7	34.0	769	7.5	256.3	5	0	37	36.3	73T	9	2	4	103.8
16	Trevor Siemian	DEN	QB	63	94	67.0	31.3	756	8.0	252.0	5	3	37	39.4	55T	8	3	5	95.9
17	Russell Wilson	SEA	QB	64	101	63.4	33.7	755	7.5	251.7	2	1	32	31.7	59	7	3	7	88.5
18	Ryan Fitzpatrick	NYJ	QB	63	113	55.8	37.7	751	6.6	250.3	3	7	38	33.6	37	13	0	2	59.3
19	Matt Ryan	ATL	QB	53	73	72.6	36.5	730	10.0	365.0	5	1	34	46.6	59	11	4	4	121.4
20	Marcus Mariota	TEN	QB	67	107	62.6	35.7	723	6.8	241.0	4	4	36	33.6	32	9	0	6	79.3
21	Brock Osweiler	HOU	QB	65	109	59.6	36.3	695	6.4	231.7	3	4	34	31.2	53	8	1	6	72.2
22	Drew Brees	NO	QB	57	86	66.3	43.0	686	8.0	343.0	5	0	31	36.0	98T	8	3	3	109.9
23	Aaron Rodgers	GB	QB	55	94	58.5	31.3	617	6.6	205.7	7	1	29	30.9	49	7	1	8	98.6
24	Blaine Gabbert	SF	QB	53	96	55.2	32.0	532	5.5	177.3	3	3	29	30.2	75T	5	1	2	68.6
25	Tyrod Taylor	BUF	QB	47	77	61.0	25.7	527	6.8	175.7	3	2	19	24.7	84T	6	2	6	83.6
26	Jameis Winston	TB	QB	50	84	59.5	42.0	524	6.2	262.0	5	5	26	31.0	45T	6	1	3	72.7
27	Dak Prescott	DAL	QB	47	75	62.7	37.5	519	6.9	259.5	0	0	26	34.7	29	5	0	4	83.1
28	Jimmy Garoppolo	NE	QB	42	59	71.2	29.5	496	8.4	248.0	4	0	22	37.3	37T	7	0	2	119.0
29	Sam Bradford	MIN	QB	40	59	67.8	29.5	457	7.7	228.5	3	0	22	37.3	46	3	2	6	107.8
30	Jay Cutler	CHI	QB	28	46	60.9	23.0	373	8.1	186.5	1	2	15	32.6	54	5	2	8	75.7
31	Case Keenum	LA	QB	35	65	53.8	32.5	369	5.7	184.5	0	2	16	24.6	44	5	1	5	57.8
32	Josh McCown	CLE	QB	20	33	60.6	33.0	260	7.9	260.0	2	2	15	45.5	47	3	1	3	80.4
33	Cody Kessler	CLE	QB	21	33	63.6	33.0	244	7.4	244.0	0	0	9	27.3	40	5	1	3	85.9
34	Shaun Hill	MIN	QB	18	33	54.5	33.0	236	7.2	236.0	0	0	12	36.4	33	3	0	0	77.3
35	Jacoby Brissett	NE	QB	17	28	60.7	14.0	195	7.0	97.5	0	0	8	28.6	37	3	0	3	81.7
36	Robert Griffin III	CLE	QB	12	26	46.2	26.0	190	7.3	190.0	0	1	7	26.9	58	2	2	3	55.0
37	Brian Hoyer	CHI	QB	9	12	75.0	12.0	78	6.5	78.0	0	0	4	33.3	19	0	0	0	91.7
38	Trevone Boykin	SEA	QB	7	9	77.8	9.0	65	7.2	65.0	1	1	4	44.4	23	1	0	0	94.2
39	Terrelle Pryor	CLE	WR	3	5	60.0	1.7	35	7.0	11.7	0	0	1	20.0	26	1	0	1	81.2
40	Tress Way	WAS	P	1	1	100.0	0.3	31	31.0	10.3	0	0	1	100.0	31	1	0	0	118.8
41	Drew Stanton	ARI	QB	1	4	25.0	4.0	11	2.8	11.0	0	0	1	25.0	11	0	0	0	39.6
42	EJ Manuel	BUF	QB	1	1	100.0	1.0	10	10.0	10.0	0	0	0	0.0	10	0	0	0	108.3
43	Derek Anderson	CAR	QB	1	1	100.0	1.0	3	3.0	3.0	0	0	0	0.0	3	0	0	0	79.2
44	Kellen Clemens	SD	QB	0	1	0.0	1.0	0	0.0	0.0	0	0	0	0.0	--	0	0	0	39.6
