RunDRk	Team	G	Pts/G	TotPts	Att	Att/G	Yds	Avg	Yds/G	TD	Lng	1st	1st%	20+	40+	FUM
1	Green Bay Packers	4	20.8	83	86	21.5	171	2.0	42.8	1	14	12	14.0	0	0	0
2	New York Jets	5	27.2	136	115	23.0	342	3.0	68.4	1	24	22	19.1	1	0	3
3	Philadelphia Eagles	4	12.8	51	76	19.0	293	3.9	73.2	2	20	20	26.3	2	0	1
4	Baltimore Ravens	5	17.6	88	107	21.4	380	3.6	76.0	2	85T	13	12.1	2	1	3
5	Pittsburgh Steelers	5	18.6	93	95	19.0	385	4.1	77.0	3	46	21	22.1	2	1	1
6	Minnesota Vikings	5	12.6	63	105	21.0	389	3.7	77.8	3	17	23	21.9	0	0	3
7	Seattle Seahawks	4	13.5	54	96	24.0	321	3.3	80.2	3	34	16	16.7	1	0	1
8	San Diego Chargers	5	28.4	142	115	23.0	417	3.6	83.4	8	24	30	26.1	1	0	1
9	New England Patriots	5	14.8	74	116	23.2	432	3.7	86.4	2	45	26	22.4	1	1	5
10	Carolina Panthers	4	29.5	118	104	26.0	361	3.5	90.2	4	28T	21	20.2	2	0	2
11	Dallas Cowboys	5	18.2	91	103	20.6	475	4.6	95.0	2	36	26	25.2	3	0	1
12	Tampa Bay Buccaneers	4	32	128	117	29.2	383	3.3	95.8	4	22	18	15.4	1	0	0
13	New York Giants	5	21.6	108	138	27.6	483	3.5	96.6	3	31	31	22.5	2	0	1
14	Buffalo Bills	5	17.4	87	137	27.4	486	3.5	97.2	6	22T	28	20.4	1	0	7
15	Tennessee Titans	5	20.2	101	117	23.4	491	4.2	98.2	2	30	22	18.8	5	0	0
16	Atlanta Falcons	5	28	140	115	23.0	493	4.3	98.6	2	26	30	26.1	2	0	0
17	Jacksonville Jaguars	4	27.8	111	107	26.8	423	4.0	105.8	4	28	26	24.3	3	0	0
18	Indianapolis Colts	5	29.6	148	120	24.0	548	4.6	109.6	5	57	29	24.2	2	1	1
19	Cincinnati Bengals	5	22	110	131	26.2	570	4.4	114.0	3	60T	28	21.4	1	1	2
20	Cleveland Browns	5	29.6	148	146	29.2	571	3.9	114.2	4	25	33	22.6	2	0	1
21	Detroit Lions	5	25	125	117	23.4	574	4.9	114.8	0	67	31	26.5	2	1	1
22	Denver Broncos	5	17.4	87	140	28.0	577	4.1	115.4	6	50	30	21.4	3	1	2
23	Arizona Cardinals	5	20.2	101	143	28.6	591	4.1	118.2	6	49	34	23.8	5	1	5
24	Chicago Bears	5	25.2	126	147	29.4	592	4.0	118.4	5	30	36	24.5	2	0	2
25	Houston Texans	5	20.8	104	147	29.4	597	4.1	119.4	7	41T	30	20.4	5	1	4
26	New Orleans Saints	4	32.5	130	110	27.5	486	4.4	121.5	8	75T	29	26.4	4	2	3
27	Oakland Raiders	5	27.4	137	125	25.0	610	4.9	122.0	4	36	35	28.0	3	0	5
28	Los Angeles Rams	5	21.2	106	140	28.0	611	4.4	122.2	5	53	35	25.0	5	1	1
29	Kansas City Chiefs	4	23	92	114	28.5	518	4.5	129.5	3	44	22	19.3	2	1	1
30	Washington Redskins	5	24.4	122	128	25.6	650	5.1	130.0	8	35	38	29.7	4	0	5
31	San Francisco 49ers	5	28	140	167	33.4	734	4.4	146.8	5	41T	41	24.6	5	1	2
32	Miami Dolphins	5	23.8	119	180	36.0	754	4.2	150.8	3	26	40	22.2	4	0	5
