"Id","Position","First Name","Last Name","FPPG","Played","Salary","Game","Team","Opponent","Injury Indicator","Injury Details","",""
"16405-11612","WR","Antonio","Brown","17.25","2","9500","PIT@PHI","PIT","PHI","","","",""
"16405-14190","WR","Julio","Jones","16.850000381469727","2","9300","ATL@NO","ATL","NO","Q","Calf","",""
"16405-14185","QB","Cam","Newton","26.489999771118164","2","9200","MIN@CAR","CAR","MIN","","","",""
"16405-6504","QB","Drew","Brees","22.969999313354492","2","9000","ATL@NO","NO","ATL","","","",""
"16405-31360","WR","Odell","Beckham Jr.","10.949999809265137","2","8900","WAS@NYG","NYG","WAS","","","",""
"16405-6894","QB","Aaron","Rodgers","20.989999771118164","2","8900","DET@GB","GB","DET","","","",""
"16405-6732","RB","DeAngelo","Williams","26.649999618530273","2","8800","PIT@PHI","PIT","PHI","","","",""
"16405-22015","QB","Russell","Wilson","12.239999771118164","2","8700","SF@SEA","SEA","SF","","","",""
"16405-21939","QB","Andrew","Luck","23.290000915527344","2","8700","SD@IND","IND","SD","Q","Shoulder","",""
"16405-6616","QB","Matt","Ryan","26.600000381469727","2","8500","ATL@NO","ATL","NO","","","",""
"16405-6589","QB","Ben","Roethlisberger","22.280000686645508","2","8400","PIT@PHI","PIT","PHI","","","",""
"16405-62497","RB","David","Johnson","18.5","2","8400","ARI@BUF","ARI","BUF","","","",""
"16405-14187","WR","A.J.","Green","17.399999618530273","2","8300","DEN@CIN","CIN","DEN","","","",""
"16405-30447","RB","Todd","Gurley","6.099999904632568","2","8300","LA@TB","LA","TB","","","",""
"16405-6893","WR","Jordy","Nelson","14","2","8300","DET@GB","GB","DET","","","",""
"16405-6654","QB","Matthew","Stafford","21.299999237060547","2","8200","DET@GB","DET","GB","","","",""
"16405-6748","QB","Carson","Palmer","21.549999237060547","2","8200","ARI@BUF","ARI","BUF","","","",""
"16405-29501","WR","Brandin","Cooks","20.350000381469727","2","8100","ATL@NO","NO","ATL","","","",""
"16405-45859","QB","Derek","Carr","23.65999984741211","2","8100","OAK@TEN","OAK","TEN","","","",""
"16405-38791","RB","Ezekiel","Elliott","12.699999809265137","2","8100","CHI@DAL","DAL","CHI","","","",""
"16405-29249","RB","C.J.","Anderson","22.350000381469727","2","8000","DEN@CIN","DEN","CIN","","","",""
"16405-32384","WR","Mike","Evans","17.200000762939453","2","8000","LA@TB","TB","LA","","","",""
"16405-7968","QB","Philip","Rivers","19.209999084472656","2","8000","SD@IND","SD","IND","","","",""
"16405-21980","WR","Alshon","Jeffery","12.300000190734863","2","7900","CHI@DAL","CHI","DAL","Q","Knee","",""
"16405-28643","WR","Allen","Robinson","8.550000190734863","2","7900","BAL@JAC","JAC","BAL","","","",""
"16405-11435","WR","Dez","Bryant","7.5","2","7900","CHI@DAL","DAL","CHI","","","",""
"16405-34308","QB","Blake","Bortles","18.280000686645508","2","7900","BAL@JAC","JAC","BAL","","","",""
"16405-6759","WR","Brandon","Marshall","8.899999618530273","2","7900","NYJ@KC","NYJ","KC","Q","Knee","",""
"16405-6914","TE","Greg","Olsen","15.75","2","7800","MIN@CAR","CAR","MIN","","","",""
"16405-24929","WR","Kelvin","Benjamin","22.200000762939453","2","7800","MIN@CAR","CAR","MIN","","","",""
"16405-6703","RB","Adrian","Peterson","3.3499999046325684","2","7800","MIN@CAR","MIN","CAR","O","Knee","",""
"16405-14254","RB","DeMarco","Murray","19.100000381469727","2","7700","OAK@TEN","TEN","OAK","","","",""
"16405-29358","QB","Marcus","Mariota","17.68000030517578","2","7700","OAK@TEN","TEN","OAK","","","",""
"16405-31001","WR","Amari","Cooper","14.149999618530273","2","7700","OAK@TEN","OAK","TEN","","","",""
"16405-6826","QB","Eli","Manning","15.800000190734863","2","7700","WAS@NYG","NYG","WAS","","","",""
"16405-6883","WR","Larry","Fitzgerald","20.350000381469727","2","7600","ARI@BUF","ARI","BUF","","","",""
