"Id","Position","First Name","Last Name","FPPG","Played","Salary","Game","Team","Opponent","Injury Indicator","Injury Details","",""
"16408-14190","WR","Julio","Jones","16.850000381469727","2","9300","ATL@NO","ATL","NO","Q","Calf","",""
"16408-6504","QB","Drew","Brees","22.969999313354492","2","9000","ATL@NO","NO","ATL","","","",""
"16408-6616","QB","Matt","Ryan","26.600000381469727","2","8500","ATL@NO","ATL","NO","","","",""
"16408-38791","RB","Ezekiel","Elliott","12.699999809265137","2","8100","CHI@DAL","DAL","CHI","","","",""
"16408-29501","WR","Brandin","Cooks","20.350000381469727","2","8100","ATL@NO","NO","ATL","","","",""
"16408-21980","WR","Alshon","Jeffery","12.300000190734863","2","7900","CHI@DAL","CHI","DAL","Q","Knee","",""
"16408-11435","WR","Dez","Bryant","7.5","2","7900","CHI@DAL","DAL","CHI","","","",""
"16408-44449","WR","Willie","Snead","20.799999237060547","2","7500","ATL@NO","NO","ATL","Q","Toe","",""
"16408-24920","RB","Devonta","Freeman","7.650000095367432","2","7400","ATL@NO","ATL","NO","","","",""
"16408-31716","QB","Dak","Prescott","14.279999732971191","2","7100","CHI@DAL","DAL","CHI","","","",""
"16408-14211","RB","Mark","Ingram","8.199999809265137","2","6900","ATL@NO","NO","ATL","","","",""
"16408-6898","QB","Jay","Cutler","8.0600004196167","2","6900","CHI@DAL","CHI","DAL","D","Thumb","",""
"16408-28202","RB","Jeremy","Langford","10.600000381469727","2","6500","CHI@DAL","CHI","DAL","","","",""
"16408-22018","WR","Mohamed","Sanu","10.949999809265137","2","6500","ATL@NO","ATL","NO","","","",""
"16408-27776","RB","Tevin","Coleman","14.149999618530273","2","6400","ATL@NO","ATL","NO","","","",""
"16408-6679","QB","Matt","Schaub","15.300000190734863","2","6000","ATL@NO","ATL","NO","","","",""
"16408-7872","QB","Brian","Hoyer","3.119999885559082","1","6000","CHI@DAL","CHI","DAL","","","",""
"16408-6641","TE","Jason","Witten","8.850000381469727","2","6000","CHI@DAL","DAL","CHI","","","",""
"16408-38514","WR","Kevin","White","5.699999809265137","2","5900","CHI@DAL","CHI","DAL","","","",""
"16408-6768","WR","Eddie","Royal","13.449999809265137","2","5600","CHI@DAL","CHI","DAL","","","",""
"16408-6664","TE","Jacob","Tamme","12.050000190734863","2","5500","ATL@NO","ATL","NO","","","",""
"16408-21971","TE","Coby","Fleener","2.5","2","5500","ATL@NO","NO","ATL","","","",""
"16408-22113","RB","Alfred","Morris","5.099999904632568","2","5400","CHI@DAL","DAL","CHI","","","",""
"16408-42142","RB","Jordan","Howard","4.099999904632568","1","5300","CHI@DAL","CHI","DAL","","","",""
"16408-8050","TE","Zach","Miller","4.099999904632568","2","5200","CHI@DAL","CHI","DAL","","","",""
"16408-28573","WR","Michael","Thomas","8.199999809265137","2","5200","ATL@NO","NO","ATL","","","",""
"16408-22258","RB","Travaris","Cadet","5.849999904632568","2","5100","ATL@NO","NO","ATL","","","",""
"16408-22288","WR","Cole","Beasley","10.25","2","5100","CHI@DAL","DAL","CHI","","","",""
"16408-6687","QB","Mark","Sanchez","12.28000005086263","3","5000","CHI@DAL","DAL","CHI","","","",""
"16408-45797","QB","Garrett","Grayson","0","1","5000","ATL@NO","NO","ATL","","","",""
