"Id","Position","First Name","Last Name","FPPG","Played","Salary","Game","Team","Opponent","Injury Indicator","Injury Details","",""
"16456-21939","QB","Andrew","Luck","20.273333231608074","3","8900","IND@JAC","IND","JAC","Q","Shoulder","",""
"16456-28643","WR","Allen","Robinson","12.766666412353516","3","8300","IND@JAC","JAC","IND","","","",""
"16456-14187","WR","A.J.","Green","15.5","3","8100","MIA@CIN","CIN","MIA","","","",""
"16456-34308","QB","Blake","Bortles","17.00666681925456","3","7700","IND@JAC","JAC","IND","","","",""
"16456-14225","QB","Andy","Dalton","16.306666056315105","3","7600","MIA@CIN","CIN","MIA","","","",""
"16456-22031","WR","T.Y.","Hilton","14.800000508626303","3","7600","IND@JAC","IND","JAC","Q","Knee","",""
"16456-21948","QB","Ryan","Tannehill","20.360000610351562","3","7200","MIA@CIN","MIA","CIN","","","",""
"16456-31394","WR","Jarvis","Landry","16.333333333333332","3","7200","MIA@CIN","MIA","CIN","Q","Shoulder","",""
"16456-31397","RB","Jeremy","Hill","12.733333587646484","3","7000","MIA@CIN","CIN","MIA","","","",""
"16456-31061","RB","T.J.","Yeldon","8.833333333333334","3","6700","IND@JAC","JAC","IND","","","",""
"16456-10777","RB","Arian","Foster","6.199999809265137","2","6700","MIA@CIN","MIA","CIN","O","Hamstring","",""
"16456-25813","WR","Phillip","Dorsett","6.366666793823242","3","6400","IND@JAC","IND","JAC","","","",""
"16456-33260","WR","DeVante","Parker","13.600000381469727","2","6300","MIA@CIN","MIA","CIN","Q","Hamstring","",""
"16456-33557","TE","Tyler","Eifert","12.73076923076923","13","6200","MIA@CIN","CIN","MIA","D","Ankle","",""
"16456-25760","WR","Allen","Hurns","8.133333206176758","3","6100","IND@JAC","JAC","IND","","","",""
"16456-6840","RB","Frank","Gore","12.800000508626303","3","6100","IND@JAC","IND","JAC","","","",""
"16456-31561","WR","Donte","Moncrief","8.399999618530273","2","6000","IND@JAC","IND","JAC","O","Shoulder","",""
"16456-14317","TE","Julius","Thomas","8.766666412353516","3","6000","IND@JAC","JAC","IND","Q","Elbow","",""
"16456-22004","TE","Dwayne","Allen","7.933333079020183","3","5900","IND@JAC","IND","JAC","","","",""
"16456-31047","QB","AJ","McCarron","8.17999976021903","7","5900","MIA@CIN","CIN","MIA","","","",""
"16456-11864","RB","Chris","Ivory","2.799999952316284","1","5700","IND@JAC","JAC","IND","Q","Lower leg","",""
"16456-6808","QB","Matt","Moore","0.36000001430511475","1","5500","MIA@CIN","MIA","CIN","","","",""
"16456-25290","RB","Giovani","Bernard","10.366666793823242","3","5500","MIA@CIN","CIN","MIA","","","",""
"16456-46882","RB","Jay","Ajayi","6.650000095367432","2","5500","MIA@CIN","MIA","CIN","","","",""
"16456-7844","QB","Chad","Henne","0","0","5500","IND@JAC","JAC","IND","","","",""
"16456-11495","WR","Brandon","LaFell","6.900000254313151","3","5500","MIA@CIN","CIN","MIA","","","",""
"16456-40669","WR","Tyler","Boyd","5.166666666666667","3","5400","MIA@CIN","CIN","MIA","","","",""
"16456-30989","RB","Kenyan","Drake","7.300000190734863","2","5400","MIA@CIN","MIA","CIN","","","",""
"16456-14292","TE","Jordan","Cameron","5.333333333333333","3","5300","MIA@CIN","MIA","CIN","O","Concussion","",""
"16456-27457","WR","Kenny","Stills","7.700000127156575","3","5100","MIA@CIN","MIA","CIN","","","",""
"16456-31207","TE","C.J.","Uzomah","4.466666539510091","3","5000","MIA@CIN","CIN","MIA","","","",""
"16456-14696","QB","Scott","Tolzien","-0.07000000029802322","2","5000","IND@JAC","IND","JAC","","","",""
"16456-30253","QB","Jeff","Driskel","0","0","5000","MIA@CIN","CIN","MIA","","","",""
"16456-31170","QB","Brandon","Allen","0","0","5000","IND@JAC","JAC","IND","","","",""
"16456-70464","QB","Josh","Woodrum","0","0","5000","IND@JAC","IND","JAC","","","",""
"16456-47772","QB","Brandon","Doughty","0","0","5000","MIA@CIN","MIA","CIN","","","",""
"16456-44500","QB","Keith","Wenning","0","0","5000","MIA@CIN","CIN","MIA","","","",""
"16456-22048","RB","Robert","Turbin","5.599999745686849","3","5000","IND@JAC","IND","JAC","","","",""
"16456-27441","RB","Damien","Williams","7.150000095367432","2","4900","MIA@CIN","MIA","CIN","","","",""
"16456-6668","K","Adam","Vinatieri","10.333333333333334","3","4800","IND@JAC","IND","JAC","","","",""
"16456-39859","TE","Jack","Doyle","10.733333587646484","3","4800","IND@JAC","IND","JAC","","","",""
"16456-12528","D","Cincinnati","Bengals","5","3","4700","MIA@CIN","CIN","MIA","","","",""
"16456-6672","TE","Marcedes","Lewis","6","3","4600","IND@JAC","JAC","IND","","","",""
"16456-26038","TE","Tyler","Kroft","5","1","4600","MIA@CIN","CIN","MIA","","","",""
"16456-24862","WR","Rashad","Greene","0.8666666348775228","3","4600","IND@JAC","JAC","IND","","","",""
"16456-28907","WR","Alex","Erickson","0.8333333333333334","3","4500","MIA@CIN","CIN","MIA","","","",""
"16456-25886","WR","Devin","Street","1.8899999618530274","10","4500","IND@JAC","IND","JAC","","","",""
"16456-62633","TE","Matt","Lengel","0","0","4500","MIA@CIN","CIN","MIA","","","",""
"16456-32410","RB","Trey","Williams","1.2000000476837158","1","4500","IND@JAC","IND","JAC","","","",""
"16456-21984","RB","Isaiah","Pead","1.7000000476837158","1","4500","MIA@CIN","MIA","CIN","","","",""
"16456-31435","TE","Nic","Jacobs","0.36666667461395264","3","4500","IND@JAC","JAC","IND","","","",""
"16456-62515","WR","Neal","Sterling","0","9","4500","IND@JAC","JAC","IND","","","",""
"16456-40913","TE","Thomas","Duarte","0","0","4500","MIA@CIN","MIA","CIN","","","",""
"16456-12535","D","Indianapolis","Colts","3.6666666666666665","3","4500","IND@JAC","IND","JAC","","","",""
"16456-31308","WR","Quan","Bray","0.40000001589457196","3","4500","IND@JAC","IND","JAC","","","",""
"16456-30228","WR","Tyler","Murphy","2.0999999046325684","1","4500","MIA@CIN","MIA","CIN","","","",""
"16456-29830","WR","Shaq","Evans","0","0","4500","IND@JAC","JAC","IND","","","",""
"16456-28311","TE","MarQueis","Gray","0.699999988079071","1","4500","MIA@CIN","MIA","CIN","","","",""
"16456-62600","WR","Joshua","Stangby","0","0","4500","IND@JAC","IND","JAC","","","",""
"16456-43260","TE","Darion","Griswold","0","0","4500","IND@JAC","IND","JAC","","","",""
"16456-14268","RB","Stevan","Ridley","1.350000023841858","8","4500","IND@JAC","IND","JAC","","","",""
"16456-26045","WR","Leonte","Carroo","2.4000000953674316","1","4500","MIA@CIN","MIA","CIN","","","",""
"16456-14266","RB","Daniel","Thomas","0","0","4500","MIA@CIN","MIA","CIN","","","",""
"16456-27692","RB","Josh","Ferguson","4.700000127156575","3","4500","IND@JAC","IND","JAC","","","",""
"16456-62619","K","Andrew","Franks","5.666666666666667","3","4500","MIA@CIN","MIA","CIN","","","",""
"16456-27338","RB","Rex","Burkhead","0","1","4500","MIA@CIN","CIN","MIA","","","",""
"16456-25789","WR","Rashawn","Scott","0","0","4500","MIA@CIN","MIA","CIN","","","",""
"16456-32703","WR","Jakeem","Grant","0","2","4500","MIA@CIN","MIA","CIN","","","",""
"16456-31191","WR","Mekale","McKay","0","0","4500","IND@JAC","IND","JAC","","","",""
"16456-28088","RB","Denard","Robinson","1.2999999523162842","2","4500","IND@JAC","JAC","IND","","","",""
"16456-29593","WR","Marqise","Lee","6.700000127156575","3","4500","IND@JAC","JAC","IND","","","",""
"16456-6636","K","Mike","Nugent","9","3","4500","MIA@CIN","CIN","MIA","","","",""
"16456-30775","WR","Justin","Hunter","4.822222391764323","9","4500","MIA@CIN","MIA","CIN","","","",""
"16456-29805","RB","Ryan","Hewitt","1.5444444020589192","9","4500","MIA@CIN","CIN","MIA","","","",""
"16456-72262","TE","Nick","Truesdell","0","0","4500","IND@JAC","IND","JAC","","","",""
"16456-7706","TE","Chase","Coffman","8.550000190734863","2","4500","IND@JAC","IND","JAC","","","",""
"16456-60745","K","Jason","Myers","7","3","4500","IND@JAC","JAC","IND","","","",""
"16456-11890","WR","Bryan","Walters","5.345454476096413","11","4500","IND@JAC","JAC","IND","","","",""
"16456-22774","RB","Jonas","Gray","4.100000108991351","7","4500","IND@JAC","JAC","IND","","","",""
"16456-44791","RB","Bronson","Hill","0","0","4500","IND@JAC","JAC","IND","","","",""
