"Id","Position","First Name","Last Name","FPPG","Played","Salary","Game","Team","Opponent","Injury Indicator","Injury Details","",""
"16449-11612","WR","Antonio","Brown","18.166666666666668","3","9400","KC@PIT","PIT","KC","","","",""
"16449-14185","QB","Cam","Newton","23.019999186197918","3","9300","CAR@ATL","CAR","ATL","","","",""
"16449-62497","RB","David","Johnson","20.53333282470703","3","8700","LA@ARI","ARI","LA","","","",""
"16449-16606","WR","DeAndre","Hopkins","14.09999974568685","3","8600","TEN@HOU","HOU","TEN","","","",""
"16449-6504","QB","Drew","Brees","24.29333241780599","3","8600","NO@SD","NO","SD","","","",""
"16449-14190","WR","Julio","Jones","11.933333079020182","3","8500","CAR@ATL","ATL","CAR","","","",""
"16449-7968","QB","Philip","Rivers","16.553333282470703","3","8500","NO@SD","SD","NO","","","",""
"16449-22015","QB","Russell","Wilson","12.833333333333334","3","8400","SEA@NYJ","SEA","NYJ","","","",""
"16449-6589","QB","Ben","Roethlisberger","17.513333638509113","3","8400","KC@PIT","PIT","KC","","","",""
"16449-28181","RB","Le'Veon","Bell","16.53333282470703","6","8300","KC@PIT","PIT","KC","","","",""
"16449-6654","QB","Matthew","Stafford","23.366666158040363","3","8300","DET@CHI","DET","CHI","","","",""
"16449-21980","WR","Alshon","Jeffery","11.366666158040365","3","8200","DET@CHI","CHI","DET","Q","Knee","",""
"16449-29501","WR","Brandin","Cooks","14.533332824707031","3","8200","NO@SD","NO","SD","","","",""
"16449-22037","RB","Lamar","Miller","12.366666158040365","3","8200","TEN@HOU","HOU","TEN","","","",""
"16449-38791","RB","Ezekiel","Elliott","14.133333841959635","3","8100","DAL@SF","DAL","SF","","","",""
"16449-45859","QB","Derek","Carr","20.06000010172526","3","8000","OAK@BAL","OAK","BAL","","","",""
"16449-32384","WR","Mike","Evans","19.53333282470703","3","8000","DEN@TB","TB","DEN","","","",""
"16449-6748","QB","Carson","Palmer","16.860000610351562","3","8000","LA@ARI","ARI","LA","","","",""
"16449-6616","QB","Matt","Ryan","24.366666158040363","3","7900","CAR@ATL","ATL","CAR","","","",""
"16449-29249","RB","C.J.","Anderson","16.433333079020183","3","7900","DEN@TB","DEN","TB","","","",""
"16449-11432","WR","Demaryius","Thomas","12.433333079020182","3","7900","DEN@TB","DEN","TB","","","",""
"16449-6914","TE","Greg","Olsen","13.633333841959635","3","7900","CAR@ATL","CAR","ATL","","","",""
"16449-11435","WR","Dez","Bryant","8.833333333333334","3","7800","DAL@SF","DAL","SF","Q","Knee","",""
"16449-30447","RB","Todd","Gurley","10.90000025431315","3","7700","LA@ARI","LA","ARI","","","",""
"16449-6714","QB","Joe","Flacco","14.653333028157553","3","7700","OAK@BAL","BAL","OAK","","","",""
"16449-24929","WR","Kelvin","Benjamin","14.800000508626303","3","7700","CAR@ATL","CAR","ATL","","","",""
"16449-54604","QB","Jimmy","Garoppolo","17.920000076293945","2","7600","BUF@NE","NE","BUF","Q","Shoulder","",""
"16449-31001","WR","Amari","Cooper","12.166666666666666","3","7600","OAK@BAL","OAK","BAL","","","",""
"16449-28900","RB","Melvin","Gordon","17.666666666666668","3","7600","NO@SD","SD","NO","","","",""
"16449-22103","WR","Marvin","Jones Jr.","20.599999745686848","3","7600","DET@CHI","DET","CHI","Q","Hamstring","",""
"16449-14377","QB","Tyrod","Taylor","16.093332926432293","3","7600","BUF@NE","BUF","NE","","","",""
"16449-22038","QB","Kirk","Cousins","16.953333536783855","3","7600","CLE@WAS","WAS","CLE","","","",""
"16449-6779","RB","LeSean","McCoy","17.03333282470703","3","7600","BUF@NE","BUF","NE","","","",""
"16449-11779","RB","LeGarrette","Blount","17.266666412353516","3","7500","BUF@NE","NE","BUF","","","",""
"16449-32418","RB","Christine","Michael","13.433333079020182","3","7500","SEA@NYJ","SEA","NYJ","","","",""
"16449-30298","TE","Jordan","Reed","9","3","7500","CLE@WAS","WAS","CLE","","","",""
"16449-44449","WR","Willie","Snead","20.799999237060547","2","7500","NO@SD","NO","SD","Q","Toe","",""
"16449-6883","WR","Larry","Fitzgerald","16.733333587646484","3","7500","LA@ARI","ARI","LA","","","",""
"16449-6759","WR","Brandon","Marshall","7.333333333333333","3","7500","SEA@NYJ","NYJ","SEA","","","",""
"16449-28434","QB","Trevor","Siemian","17.479999542236328","3","7400","DEN@TB","DEN","TB","","","",""
"16449-29358","QB","Marcus","Mariota","14.039999643961588","3","7400","TEN@HOU","TEN","HOU","","","",""
"16449-11460","TE","Rob","Gronkowski","0","1","7400","BUF@NE","NE","BUF","Q","Hamstring","",""
"16449-14626","WR","Doug","Baldwin","16.400000254313152","3","7400","SEA@NYJ","SEA","NYJ","","","",""
"16449-21994","QB","Brock","Osweiler","12.733333587646484","3","7300","TEN@HOU","HOU","TEN","","","",""
"16449-14254","RB","DeMarco","Murray","20.733333587646484","3","7300","TEN@HOU","TEN","HOU","","","",""
"16449-31716","QB","Dak","Prescott","17.360000610351562","3","7200","DAL@SF","DAL","SF","","","",""
"16449-7859","WR","Julian","Edelman","10","3","7200","BUF@NE","NE","BUF","","","",""
"16449-24920","RB","Devonta","Freeman","14.833333333333334","3","7200","CAR@ATL","ATL","CAR","","","",""
"16449-34331","RB","Latavius","Murray","14.366666158040365","3","7100","OAK@BAL","OAK","BAL","","","",""
