"Id","Position","First Name","Last Name","FPPG","Played","Salary","Game","Team","Opponent","Injury Indicator","Injury Details","",""
"16451-11612","WR","Antonio","Brown","18.166666666666668","3","9400","KC@PIT","PIT","KC","","","",""
"16451-62497","RB","David","Johnson","20.53333282470703","3","8700","LA@ARI","ARI","LA","","","",""
"16451-31360","WR","Odell","Beckham Jr.","12.5","3","8700","NYG@MIN","NYG","MIN","","","",""
"16451-6504","QB","Drew","Brees","24.29333241780599","3","8600","NO@SD","NO","SD","","","",""
"16451-7968","QB","Philip","Rivers","16.553333282470703","3","8500","NO@SD","SD","NO","","","",""
"16451-6589","QB","Ben","Roethlisberger","17.513333638509113","3","8400","KC@PIT","PIT","KC","","","",""
"16451-28181","RB","Le'Veon","Bell","16.53333282470703","6","8300","KC@PIT","PIT","KC","","","",""
"16451-29501","WR","Brandin","Cooks","14.533332824707031","3","8200","NO@SD","NO","SD","","","",""
"16451-38791","RB","Ezekiel","Elliott","14.133333841959635","3","8100","DAL@SF","DAL","SF","","","",""
"16451-32384","WR","Mike","Evans","19.53333282470703","3","8000","DEN@TB","TB","DEN","","","",""
"16451-6748","QB","Carson","Palmer","16.860000610351562","3","8000","LA@ARI","ARI","LA","","","",""
"16451-11432","WR","Demaryius","Thomas","12.433333079020182","3","7900","DEN@TB","DEN","TB","","","",""
"16451-29249","RB","C.J.","Anderson","16.433333079020183","3","7900","DEN@TB","DEN","TB","","","",""
"16451-11435","WR","Dez","Bryant","8.833333333333334","3","7800","DAL@SF","DAL","SF","Q","Knee","",""
"16451-30447","RB","Todd","Gurley","10.90000025431315","3","7700","LA@ARI","LA","ARI","","","",""
"16451-28900","RB","Melvin","Gordon","17.666666666666668","3","7600","NO@SD","SD","NO","","","",""
"16451-44449","WR","Willie","Snead","20.799999237060547","2","7500","NO@SD","NO","SD","Q","Toe","",""
"16451-6826","QB","Eli","Manning","15.866666158040365","3","7500","NYG@MIN","NYG","MIN","","","",""
"16451-6883","WR","Larry","Fitzgerald","16.733333587646484","3","7500","LA@ARI","ARI","LA","","","",""
"16451-28434","QB","Trevor","Siemian","17.479999542236328","3","7400","DEN@TB","DEN","TB","","","",""
"16451-31716","QB","Dak","Prescott","17.360000610351562","3","7200","DAL@SF","DAL","SF","","","",""
"16451-11414","QB","Sam","Bradford","14.890000343322754","2","7100","NYG@MIN","MIN","NYG","","","",""
"16451-25079","WR","Stefon","Diggs","16.133333841959637","3","7100","NYG@MIN","MIN","NYG","Q","Groin","",""
"16451-24849","QB","Jameis","Winston","20.553333282470703","3","7100","DEN@TB","TB","DEN","","","",""
"16451-6728","RB","Jamaal","Charles","18.11999969482422","5","7000","KC@PIT","KC","PIT","Q","Knee","",""
"16451-11505","WR","Emmanuel","Sanders","13.666666666666666","3","6900","DEN@TB","DEN","TB","","","",""
"16451-8005","QB","Alex","Smith","15.28000005086263","3","6900","KC@PIT","KC","PIT","","","",""
"16451-27477","WR","Sterling","Shepard","14.433333079020182","3","6900","NYG@MIN","NYG","MIN","","","",""
"16451-7283","WR","Jeremy","Maclin","10","3","6900","KC@PIT","KC","PIT","","","",""
"16451-14211","RB","Mark","Ingram","12.366666158040365","3","6800","NO@SD","NO","SD","","","",""
"16451-28473","RB","Carlos","Hyde","17.333333333333332","3","6800","DAL@SF","SF","DAL","","","",""
"16451-22035","WR","Travis","Benjamin","13.766666412353516","3","6600","NO@SD","SD","NO","","","",""
"16451-33076","TE","Travis","Kelce","11.40000025431315","3","6500","KC@PIT","KC","PIT","","","",""
"16451-21952","WR","Michael","Floyd","7.966666539510091","3","6500","LA@ARI","ARI","LA","","","",""
"16451-22994","QB","Case","Keenum","9.653333028157553","3","6500","LA@ARI","LA","ARI","","","",""
"16451-31871","RB","Charles","Sims","12.433333079020182","3","6500","DEN@TB","TB","DEN","","","",""
"16451-21970","RB","Doug","Martin","7.199999809265137","2","6400","DEN@TB","TB","DEN","O","Hamstring","",""
"16451-14194","QB","Blaine","Gabbert","14.226666768391928","3","6400","DAL@SF","SF","DAL","","","",""
"16451-62535","WR","Tyrell","Williams","10.533333460489908","3","6400","NO@SD","SD","NO","","","",""
"16451-54606","WR","John","Brown","4.399999936421712","3","6200","LA@ARI","ARI","LA","","","",""
"16451-31459","RB","Spencer","Ware","15.233333587646484","3","6200","KC@PIT","KC","PIT","","","",""
"16451-6639","QB","Tony","Romo","11.914999961853027","4","6000","DAL@SF","DAL","SF","Q","Back","",""
"16451-6641","TE","Jason","Witten","7.066666920979817","3","6000","DAL@SF","DAL","SF","","","",""
"16451-38435","QB","Jared","Goff","0","0","6000","LA@ARI","LA","ARI","","","",""
"16451-14231","QB","Colin","Kaepernick","12.799999660915798","9","6000","DAL@SF","SF","DAL","","","",""
"16451-14245","RB","Shane","Vereen","9.40000025431315","3","6000","NYG@MIN","NYG","MIN","IR","Triceps","",""
"16451-25410","QB","Mike","Glennon","0","0","6000","DEN@TB","TB","DEN","","","",""
"16451-22027","QB","Nick","Foles","9.64363653009588","11","6000","KC@PIT","KC","PIT","","","",""
