"Id","Position","First Name","Last Name","FPPG","Played","Salary","Game","Team","Opponent","Injury Indicator","Injury Details","",""
"16505-14185","QB","Cam","Newton","21.165000915527344","4","9300","TB@CAR","CAR","TB","Q","Concussion","",""
"16505-6894","QB","Aaron","Rodgers","22.79333241780599","3","9100","NYG@GB","GB","NYG","","","",""
"16505-14190","WR","Julio","Jones","19.450000762939453","4","8900","ATL@DEN","ATL","DEN","","","",""
"16505-14187","WR","A.J.","Green","18.700000762939453","4","8700","CIN@DAL","CIN","DAL","","","",""
"16505-31360","WR","Odell","Beckham Jr.","10.324999809265137","4","8500","NYG@GB","NYG","GB","","","",""
"16505-6893","WR","Jordy","Nelson","17.6999994913737","3","8400","NYG@GB","GB","NYG","","","",""
"16505-7968","QB","Philip","Rivers","17.375","4","8300","SD@OAK","SD","OAK","","","",""
"16505-45859","QB","Derek","Carr","20.985000610351562","4","8100","SD@OAK","OAK","SD","","","",""
"16505-6914","TE","Greg","Olsen","14.875","4","8000","TB@CAR","CAR","TB","","","",""
"16505-29249","RB","C.J.","Anderson","15.25","4","8000","ATL@DEN","DEN","ATL","","","",""
"16505-32384","WR","Mike","Evans","16.75","4","7900","TB@CAR","TB","CAR","","","",""
"16505-38791","RB","Ezekiel","Elliott","16.149999618530273","4","7900","CIN@DAL","DAL","CIN","","","",""
"16505-14225","QB","Andy","Dalton","15.890000343322754","4","7800","CIN@DAL","CIN","DAL","","","",""
"16505-6779","RB","LeSean","McCoy","17.725000381469727","4","7800","BUF@LA","BUF","LA","Q","Hand","",""
"16505-11432","WR","Demaryius","Thomas","13.925000190734863","4","7700","ATL@DEN","DEN","ATL","","","",""
"16505-11435","WR","Dez","Bryant","8.833333333333334","3","7700","CIN@DAL","DAL","CIN","Q","Knee","",""
"16505-6616","QB","Matt","Ryan","27.405000686645508","4","7700","ATL@DEN","ATL","DEN","","","",""
"16505-28900","RB","Melvin","Gordon","18.475000381469727","4","7700","SD@OAK","SD","OAK","","","",""
"16505-6826","QB","Eli","Manning","14.260000228881836","4","7700","NYG@GB","NYG","GB","","","",""
"16505-28434","QB","Trevor","Siemian","14.789999961853027","4","7600","ATL@DEN","DEN","ATL","Q","Shoulder - ac joint","",""
"16505-30447","RB","Todd","Gurley","10.850000381469727","4","7600","BUF@LA","LA","BUF","","","",""
"16505-14377","QB","Tyrod","Taylor","16.229999542236328","4","7600","BUF@LA","BUF","LA","","","",""
"16505-24929","WR","Kelvin","Benjamin","13.949999809265137","4","7500","TB@CAR","CAR","TB","","","",""
"16505-24920","RB","Devonta","Freeman","14.475000381469727","4","7400","ATL@DEN","ATL","DEN","","","",""
"16505-24849","QB","Jameis","Winston","18.68000030517578","4","7400","TB@CAR","TB","CAR","","","",""
"16505-31716","QB","Dak","Prescott","17.545000076293945","4","7300","CIN@DAL","DAL","CIN","","","",""
"16505-31397","RB","Jeremy","Hill","11.324999809265137","4","7300","CIN@DAL","CIN","DAL","","","",""
"16505-31001","WR","Amari","Cooper","10.949999809265137","4","7200","SD@OAK","OAK","SD","","","",""
"16505-11505","WR","Emmanuel","Sanders","14.949999809265137","4","7100","ATL@DEN","DEN","ATL","","","",""
"16505-14257","WR","Randall","Cobb","6.799999872843425","3","7100","NYG@GB","GB","NYG","","","",""
"16505-30968","RB","Eddie","Lacy","8.09999974568685","3","7100","NYG@GB","GB","NYG","","","",""
"16505-9392","WR","Michael","Crabtree","17.450000762939453","4","6900","SD@OAK","OAK","SD","","","",""
"16505-27477","WR","Sterling","Shepard","12.074999809265137","4","6900","NYG@GB","NYG","GB","","","",""
"16505-33463","QB","Paxton","Lynch","10.399999618530273","1","6800","ATL@DEN","DEN","ATL","","","",""
"16505-22994","QB","Case","Keenum","11.75","4","6600","BUF@LA","LA","BUF","","","",""
"16505-62535","WR","Tyrell","Williams","9.524999618530273","4","6500","SD@OAK","SD","OAK","","","",""
"16505-22035","WR","Travis","Benjamin","11.524999618530273","4","6500","SD@OAK","SD","OAK","","","",""
"16505-31871","RB","Charles","Sims","9.949999809265137","4","6300","TB@CAR","TB","CAR","Q","Knee","",""
"16505-21970","RB","Doug","Martin","7.199999809265137","2","6200","TB@CAR","TB","CAR","Q","Hamstring","",""
"16505-33557","TE","Tyler","Eifert","12.73076923076923","13","6200","CIN@DAL","CIN","DAL","O","Back","",""
"16505-6733","RB","Jonathan","Stewart","4.5","2","6200","TB@CAR","CAR","TB","Q","Hamstring","",""
"16505-14645","WR","Dontrelle","Inman","7.125","4","6100","SD@OAK","SD","OAK","","","",""
"16505-37245","RB","Fozzy","Whittaker","9.149999618530273","4","6100","TB@CAR","CAR","TB","","","",""
"16505-34331","RB","Latavius","Murray","11.625","4","6100","SD@OAK","OAK","SD","O","Toe","",""
"16505-6639","QB","Tony","Romo","11.914999961853027","4","6000","CIN@DAL","DAL","CIN","O","Back","",""
"16505-38435","QB","Jared","Goff","0","0","6000","BUF@LA","LA","BUF","","","",""
"16505-33691","RB","Orleans","Darkwa","8.066666920979818","3","6000","NYG@GB","NYG","GB","","","",""
"16505-6679","QB","Matt","Schaub","15.300000190734863","2","6000","ATL@DEN","ATL","DEN","","","",""
"16505-25410","QB","Mike","Glennon","0","0","6000","TB@CAR","TB","CAR","","","",""
"16505-31047","QB","AJ","McCarron","8.17999976021903","7","5900","CIN@DAL","CIN","DAL","","","",""
"16505-27776","RB","Tevin","Coleman","15.375","4","5900","ATL@DEN","ATL","DEN","","","",""
"16505-6641","TE","Jason","Witten","7.349999904632568","4","5800","CIN@DAL","DAL","CIN","","","",""
"16505-8052","RB","Rashad","Jennings","6.650000095367432","2","5800","NYG@GB","NYG","GB","Q","Thumb","",""
"16505-38269","RB","Cameron","Artis-Payne","3.75","2","5800","TB@CAR","CAR","TB","","","",""
"16505-26458","WR","Tavon","Austin","8.074999809265137","4","5800","BUF@LA","LA","BUF","","","",""
"16505-6535","WR","Kenny","Britt","8.774999618530273","4","5700","BUF@LA","LA","BUF","Q","Thigh","",""
"16505-6627","WR","Ted","Ginn Jr.","4.550000190734863","4","5700","TB@CAR","CAR","TB","","","",""
"16505-7965","TE","Antonio","Gates","6.25","2","5700","SD@OAK","SD","OAK","Q","Hamstring","",""
"16505-14336","RB","Jacquizz","Rodgers","3.0333334604899087","3","5700","TB@CAR","TB","CAR","","","",""
"16505-11999","WR","Victor","Cruz","9.125","4","5600","NYG@GB","NYG","GB","","","",""
"16505-54741","WR","Seth","Roberts","7.824999809265137","4","5600","SD@OAK","OAK","SD","","","",""
"16505-22018","WR","Mohamed","Sanu","7.425000190734863","4","5600","ATL@DEN","ATL","DEN","","","",""
"16505-25290","RB","Giovani","Bernard","9.199999809265137","4","5500","CIN@DAL","CIN","DAL","","","",""
"16505-22848","QB","Austin","Davis","7.393333435058594","3","5500","ATL@DEN","DEN","ATL","","","",""
"16505-22288","WR","Cole","Beasley","10.024999618530273","4","5500","CIN@DAL","DAL","CIN","","","",""
"16505-32243","WR","Marquise","Goodwin","7","3","5500","BUF@LA","BUF","LA","","","",""
"16505-45889","WR","Davante","Adams","7.966666539510091","3","5500","NYG@GB","GB","NYG","","","",""
"16505-31836","WR","Terrance","Williams","8.700000127156576","3","5500","CIN@DAL","DAL","CIN","","","",""
"16505-28677","QB","Matt","McGloin","5.340000152587891","2","5500","SD@OAK","OAK","SD","","","",""
"16505-11495","WR","Brandon","LaFell","6.775000095367432","4","5400","CIN@DAL","CIN","DAL","","","",""
"16505-54782","TE","Cameron","Brate","8.975000381469727","4","5400","TB@CAR","TB","CAR","","","",""
"16505-40845","TE","Hunter","Henry","8.09999974568685","3","5400","SD@OAK","SD","OAK","","","",""
"16505-6664","TE","Jacob","Tamme","8.925000190734863","4","5400","ATL@DEN","ATL","DEN","","","",""
"16505-40669","WR","Tyler","Boyd","4.25","4","5300","CIN@DAL","CIN","DAL","","","",""
"16505-29685","WR","Robert","Woods","6.5","4","5300","BUF@LA","BUF","LA","","","",""
"16505-21123","TE","Larry","Donnell","5","3","5200","NYG@GB","NYG","GB","O","Concussion","",""
"16505-28080","WR","Devin","Funchess","4.224999904632568","4","5200","TB@CAR","CAR","TB","","","",""
"16505-14362","TE","Charles","Clay","4.349999904632568","4","5200","BUF@LA","BUF","LA","Q","Knee","",""
"16505-39580","RB","Devontae","Booker","2.5999999046325684","4","5100","ATL@DEN","DEN","ATL","","","",""
"16505-39445","WR","Brice","Butler","3.674999952316284","4","5100","CIN@DAL","DAL","CIN","","","",""
"16505-31207","TE","C.J.","Uzomah","4.974999904632568","4","5100","CIN@DAL","CIN","DAL","","","",""
"16505-24671","WR","Adam","Humphries","7.675000190734863","4","5100","TB@CAR","TB","CAR","","","",""
"16505-12531","D","Denver","Broncos","13","4","5100","ATL@DEN","DEN","ATL","","","",""
"16505-22113","RB","Alfred","Morris","5.550000190734863","4","5100","CIN@DAL","DAL","CIN","","","",""
"16505-70446","QB","Joe","Callahan","0","0","5000","NYG@GB","GB","NYG","","","",""
"16505-28163","QB","Connor","Cook","0","0","5000","SD@OAK","OAK","SD","","","",""
"16505-26355","QB","Logan","Thomas","0","0","5000","NYG@GB","NYG","GB","","","",""
"16505-44500","QB","Keith","Wenning","0","0","5000","CIN@DAL","CIN","DAL","","","",""
"16505-12553","D","Carolina","Panthers","8","4","5000","TB@CAR","CAR","TB","","","",""
"16505-33702","QB","Ryan","Griffin","0","0","5000","TB@CAR","TB","CAR","","","",""
"16505-8023","QB","Josh","Johnson","0","0","5000","NYG@GB","NYG","GB","","","",""
"16505-26141","QB","Ryan","Nassib","6.71999979019165","1","5000","NYG@GB","NYG","GB","","","",""
"16505-29445","QB","Sean","Mannion","1.2400000095367432","1","5000","BUF@LA","LA","BUF","","","",""
"16505-7953","WR","Vincent","Jackson","4.925000190734863","4","5000","TB@CAR","TB","CAR","","","",""
"16505-7919","QB","Kellen","Clemens","-0.10000000149011612","1","5000","SD@OAK","SD","OAK","","","",""
"16505-29314","TE","Richard","Rodgers","4.700000127156575","3","5000","NYG@GB","GB","NYG","","","",""
"16505-28515","QB","Cardale","Jones","0","0","5000","BUF@LA","BUF","LA","","","",""
"16505-6373","QB","Derek","Anderson","7.5","2","5000","TB@CAR","CAR","TB","","","",""
"16505-32366","QB","Jameill","Showers","0","0","5000","CIN@DAL","DAL","CIN","","","",""
"16505-29915","QB","Brett","Hundley","0","0","5000","NYG@GB","GB","NYG","","","",""
"16505-6687","QB","Mark","Sanchez","12.28000005086263","3","5000","CIN@DAL","DAL","CIN","","","",""
"16505-30253","QB","Jeff","Driskel","0","0","5000","CIN@DAL","CIN","DAL","","","",""
"16505-24949","QB","EJ","Manuel","0.6000000238418579","1","5000","BUF@LA","BUF","LA","","","",""
"16505-11615","QB","Joe","Webb","0.800000011920929","1","5000","TB@CAR","CAR","TB","","","",""
"16505-33578","RB","Jalen","Richard","6.699999809265137","4","4900","SD@OAK","OAK","SD","","","",""
"16505-6643","RB","Reggie","Bush","-0.4000000059604645","1","4900","BUF@LA","BUF","LA","","","",""
"16505-22958","RB","Bobby","Rainey","6.449999809265137","2","4900","NYG@GB","NYG","GB","","","",""
"16505-54753","WR","Taylor","Gabriel","4.533333460489909","3","4900","ATL@DEN","ATL","DEN","","","",""
"16505-10744","K","Graham","Gano","9.75","4","4900","TB@CAR","CAR","TB","","","",""
"16505-25775","TE","Clive","Walford","6.25","4","4800","SD@OAK","OAK","SD","Q","Knee","",""
"16505-33137","WR","Justin","Hardy","4.349999904632568","4","4800","ATL@DEN","ATL","DEN","","","",""
"16505-22292","RB","Lance","Dunbar","3.75","4","4800","CIN@DAL","DAL","CIN","Q","Knee","",""
"16505-6522","K","Josh","Brown","8.333333333333334","3","4800","NYG@GB","NYG","GB","","","",""
"16505-7975","RB","Mike","Tolbert","1.75","4","4800","TB@CAR","CAR","TB","Q","Hamstring","",""
"16505-7831","K","Sebastian","Janikowski","5.75","4","4800","SD@OAK","OAK","SD","","","",""
"16505-10647","K","Matt","Bryant","10.5","4","4800","ATL@DEN","ATL","DEN","","","",""
