"","TeamID","Name","Team.x","Opp","Score","Sacks","Sack.Yds","QB.Hits","Tackles","Assists","Fumbles.Forced","Fumbles.Recovered","Team.y","Rk.x","G.x","Pts.G.x","TotPts.x","Att.x","Att.G.x","Yds.x","Avg.x","Yds.G.x","TD.x","Lng.x","X1st.x","X1st..x","X20..x","X40..x","FUM.x","Rk.y","G.y","Pts.G.y","TotPts.y","Comp","Att.y","Pct","Att.G.y","Yds.y","Avg.y","Yds.G.y","TD.y","Int","X1st.y","X1st..y","Lng.y","X20..y","X40..y","Sck","Rate","k","G","Pts.G","TotPts","Scrm.Plys","Yds.G","Yds.P","X1st.G","X3rd.Md","X3rd.Att","X3rd.Pct","X4th.Md","X4th.Att","X4th.Pct","Pen","Pen.Yds","ToP.G","FUM.y","Lost","Year","Rk"
"1",1,"Markus Golden","ari","vs NE","L  21-23",1,2,0,2,0,1,0,"Arizona Cardinals",6,16,19.6,313,373,23.3,"1,460",3.9,91.2,9,"52",79,21.2,12,2,12,8,16,19.6,313,343,573,59.9,35.8,"3,687",6.9,230.4,24,19,177,30.9,"88T",56,14,36,80.9,5,16,"19,6",313,"982",321.7,5.2,17.8,75,210,36,8,17,47,130,"1,202","27:56",31,14,2016,NA
"2",1,"Markus Golden","ari","vs NE","L  21-23",1,2,0,2,0,1,0,"Arizona Cardinals",11,2,15,30,52,26,"191",3.7,95.5,1,"24",12,23.1,1,0,2,15,2,15,30,51,85,60,42.5,"478",6,239,2,4,25,29.4,"37T",5,0,5,65.2,NA,2,"15",30,"142",334.5,4.7,20,15,29,52,0,1,0,13,"108","32:28",4,3,NA,13
"3",1,"Chandler Jones","ari","vs NE","L  21-23",1,5,2,3,2,0,1,"Arizona Cardinals",6,16,19.6,313,373,23.3,"1,460",3.9,91.2,9,"52",79,21.2,12,2,12,8,16,19.6,313,343,573,59.9,35.8,"3,687",6.9,230.4,24,19,177,30.9,"88T",56,14,36,80.9,5,16,"19,6",313,"982",321.7,5.2,17.8,75,210,36,8,17,47,130,"1,202","27:56",31,14,2016,NA
"4",1,"Chandler Jones","ari","vs NE","L  21-23",1,5,2,3,2,0,1,"Arizona Cardinals",11,2,15,30,52,26,"191",3.7,95.5,1,"24",12,23.1,1,0,2,15,2,15,30,51,85,60,42.5,"478",6,239,2,4,25,29.4,"37T",5,0,5,65.2,NA,2,"15",30,"142",334.5,4.7,20,15,29,52,0,1,0,13,"108","32:28",4,3,NA,13
"5",1,"Markus Golden","ari","vs TB","W  40-7",1,9,2,1,1,0,0,"Arizona Cardinals",6,16,19.6,313,373,23.3,"1,460",3.9,91.2,9,"52",79,21.2,12,2,12,8,16,19.6,313,343,573,59.9,35.8,"3,687",6.9,230.4,24,19,177,30.9,"88T",56,14,36,80.9,5,16,"19,6",313,"982",321.7,5.2,17.8,75,210,36,8,17,47,130,"1,202","27:56",31,14,2016,NA
"6",1,"Markus Golden","ari","vs TB","W  40-7",1,9,2,1,1,0,0,"Arizona Cardinals",11,2,15,30,52,26,"191",3.7,95.5,1,"24",12,23.1,1,0,2,15,2,15,30,51,85,60,42.5,"478",6,239,2,4,25,29.4,"37T",5,0,5,65.2,NA,2,"15",30,"142",334.5,4.7,20,15,29,52,0,1,0,13,"108","32:28",4,3,NA,13
"7",1,"Chandler Jones","ari","vs TB","W  40-7",1,10,3,1,0,0,0,"Arizona Cardinals",6,16,19.6,313,373,23.3,"1,460",3.9,91.2,9,"52",79,21.2,12,2,12,8,16,19.6,313,343,573,59.9,35.8,"3,687",6.9,230.4,24,19,177,30.9,"88T",56,14,36,80.9,5,16,"19,6",313,"982",321.7,5.2,17.8,75,210,36,8,17,47,130,"1,202","27:56",31,14,2016,NA
"8",1,"Chandler Jones","ari","vs TB","W  40-7",1,10,3,1,0,0,0,"Arizona Cardinals",11,2,15,30,52,26,"191",3.7,95.5,1,"24",12,23.1,1,0,2,15,2,15,30,51,85,60,42.5,"478",6,239,2,4,25,29.4,"37T",5,0,5,65.2,NA,2,"15",30,"142",334.5,4.7,20,15,29,52,0,1,0,13,"108","32:28",4,3,NA,13
"9",1,"Markus Golden","ari","@ BUF","L  18-33",1,8,1,4,2,0,0,"Arizona Cardinals",6,16,19.6,313,373,23.3,"1,460",3.9,91.2,9,"52",79,21.2,12,2,12,8,16,19.6,313,343,573,59.9,35.8,"3,687",6.9,230.4,24,19,177,30.9,"88T",56,14,36,80.9,5,16,"19,6",313,"982",321.7,5.2,17.8,75,210,36,8,17,47,130,"1,202","27:56",31,14,2016,NA
"10",1,"Markus Golden","ari","@ BUF","L  18-33",1,8,1,4,2,0,0,"Arizona Cardinals",11,2,15,30,52,26,"191",3.7,95.5,1,"24",12,23.1,1,0,2,15,2,15,30,51,85,60,42.5,"478",6,239,2,4,25,29.4,"37T",5,0,5,65.2,NA,2,"15",30,"142",334.5,4.7,20,15,29,52,0,1,0,13,"108","32:28",4,3,NA,13
