Id,Position,First Name,Last Name,FPPG,Played,Salary,Game,Team,Opponent,Injury Indicator,Injury Details
16402-11612,WR,Antonio,Brown,17.25,2,9500,PIT@PHI,PIT,PHI,,
16402-14185,QB,Cam,Newton,26.48999977,2,9200,MIN@CAR,CAR,MIN,,
16402-6504,QB,Drew,Brees,22.96999931,2,9000,ATL@NO,NO,ATL,,
16402-31360,WR,Odell,Beckham Jr.,10.94999981,2,8900,WAS@NYG,NYG,WAS,,
16402-6894,QB,Aaron,Rodgers,20.98999977,2,8900,DET@GB,GB,DET,,
16402-6732,RB,DeAngelo,Williams,26.64999962,2,8800,PIT@PHI,PIT,PHI,,
16402-22015,QB,Russell,Wilson,12.23999977,2,8700,SF@SEA,SEA,SF,,
16402-6616,QB,Matt,Ryan,26.60000038,2,8500,ATL@NO,ATL,NO,,
16402-6589,QB,Ben,Roethlisberger,22.28000069,2,8400,PIT@PHI,PIT,PHI,,
16402-62497,RB,David,Johnson,18.5,2,8400,ARI@BUF,ARI,BUF,,
16402-30447,RB,Todd,Gurley,6.099999905,2,8300,LA@TB,LA,TB,,
16402-6893,WR,Jordy,Nelson,14,2,8300,DET@GB,GB,DET,,
16402-6654,QB,Matthew,Stafford,21.29999924,2,8200,DET@GB,DET,GB,,
16402-6748,QB,Carson,Palmer,21.54999924,2,8200,ARI@BUF,ARI,BUF,,
16402-29501,WR,Brandin,Cooks,20.35000038,2,8100,ATL@NO,NO,ATL,,
16402-45859,QB,Derek,Carr,23.65999985,2,8100,OAK@TEN,OAK,TEN,,
16402-38791,RB,Ezekiel,Elliott,12.69999981,2,8100,CHI@DAL,DAL,CHI,,
16402-29249,RB,C.J.,Anderson,22.35000038,2,8000,DEN@CIN,DEN,CIN,,
16402-32384,WR,Mike,Evans,17.20000076,2,8000,LA@TB,TB,LA,,
16402-7968,QB,Philip,Rivers,19.20999908,2,8000,SD@IND,SD,IND,,
16402-16606,WR,DeAndre,Hopkins,17.35000038,2,7900,HOU@NE,HOU,NE,,
16402-11435,WR,Dez,Bryant,7.5,2,7900,CHI@DAL,DAL,CHI,,
16402-34308,QB,Blake,Bortles,18.28000069,2,7900,BAL@JAC,JAC,BAL,,
16402-6914,TE,Greg,Olsen,15.75,2,7800,MIN@CAR,CAR,MIN,,
16402-24929,WR,Kelvin,Benjamin,22.20000076,2,7800,MIN@CAR,CAR,MIN,,
16402-14254,RB,DeMarco,Murray,19.10000038,2,7700,OAK@TEN,TEN,OAK,,
16402-29358,QB,Marcus,Mariota,17.68000031,2,7700,OAK@TEN,TEN,OAK,,
16402-31001,WR,Amari,Cooper,14.14999962,2,7700,OAK@TEN,OAK,TEN,,
16402-6826,QB,Eli,Manning,15.80000019,2,7700,WAS@NYG,NYG,WAS,,
16402-6714,QB,Joe,Flacco,15.10000038,2,7600,BAL@JAC,BAL,JAC,,
16402-24849,QB,Jameis,Winston,17.57999992,2,7600,LA@TB,TB,LA,,
16402-14225,QB,Andy,Dalton,18.84000015,2,7500,DEN@CIN,CIN,DEN,,
16402-30298,TE,Jordan,Reed,9.699999809,2,7500,WAS@NYG,WAS,NYG,,
16402-44449,WR,Willie,Snead,20.79999924,2,7500,ATL@NO,NO,ATL,,
16402-21948,QB,Ryan,Tannehill,20.05999947,2,7400,CLE@MIA,MIA,CLE,,
16402-24920,RB,Devonta,Freeman,7.650000095,2,7400,ATL@NO,ATL,NO,,
16402-22031,WR,T.Y.,Hilton,8.5,2,7400,SD@IND,IND,SD,,
