"Id","Position","First Name","Last Name","FPPG","Played","Salary","Game","Team","Opponent","Injury Indicator","Injury Details","",""
"16403-11612","WR","Antonio","Brown","17.25","2","9500","PIT@PHI","PIT","PHI","","","",""
"16403-14185","QB","Cam","Newton","26.489999771118164","2","9200","MIN@CAR","CAR","MIN","","","",""
"16403-31360","WR","Odell","Beckham Jr.","10.949999809265137","2","8900","WAS@NYG","NYG","WAS","","","",""
"16403-6894","QB","Aaron","Rodgers","20.989999771118164","2","8900","DET@GB","GB","DET","","","",""
"16403-6732","RB","DeAngelo","Williams","26.649999618530273","2","8800","PIT@PHI","PIT","PHI","","","",""
"16403-22015","QB","Russell","Wilson","12.239999771118164","2","8700","SF@SEA","SEA","SF","","","",""
"16403-21939","QB","Andrew","Luck","23.290000915527344","2","8700","SD@IND","IND","SD","Q","Shoulder","",""
"16403-6589","QB","Ben","Roethlisberger","22.280000686645508","2","8400","PIT@PHI","PIT","PHI","","","",""
"16403-62497","RB","David","Johnson","18.5","2","8400","ARI@BUF","ARI","BUF","","","",""
"16403-14187","WR","A.J.","Green","17.399999618530273","2","8300","DEN@CIN","CIN","DEN","","","",""
"16403-30447","RB","Todd","Gurley","6.099999904632568","2","8300","LA@TB","LA","TB","","","",""
"16403-6893","WR","Jordy","Nelson","14","2","8300","DET@GB","GB","DET","","","",""
"16403-6654","QB","Matthew","Stafford","21.299999237060547","2","8200","DET@GB","DET","GB","","","",""
"16403-6748","QB","Carson","Palmer","21.549999237060547","2","8200","ARI@BUF","ARI","BUF","","","",""
"16403-45859","QB","Derek","Carr","23.65999984741211","2","8100","OAK@TEN","OAK","TEN","","","",""
"16403-38791","RB","Ezekiel","Elliott","12.699999809265137","2","8100","CHI@DAL","DAL","CHI","","","",""
"16403-29249","RB","C.J.","Anderson","22.350000381469727","2","8000","DEN@CIN","DEN","CIN","","","",""
"16403-32384","WR","Mike","Evans","17.200000762939453","2","8000","LA@TB","TB","LA","","","",""
"16403-7968","QB","Philip","Rivers","19.209999084472656","2","8000","SD@IND","SD","IND","","","",""
"16403-21980","WR","Alshon","Jeffery","12.300000190734863","2","7900","CHI@DAL","CHI","DAL","Q","Knee","",""
"16403-28643","WR","Allen","Robinson","8.550000190734863","2","7900","BAL@JAC","JAC","BAL","","","",""
"16403-11435","WR","Dez","Bryant","7.5","2","7900","CHI@DAL","DAL","CHI","","","",""
"16403-34308","QB","Blake","Bortles","18.280000686645508","2","7900","BAL@JAC","JAC","BAL","","","",""
"16403-6759","WR","Brandon","Marshall","8.899999618530273","2","7900","NYJ@KC","NYJ","KC","Q","Knee","",""
"16403-6914","TE","Greg","Olsen","15.75","2","7800","MIN@CAR","CAR","MIN","","","",""
"16403-24929","WR","Kelvin","Benjamin","22.200000762939453","2","7800","MIN@CAR","CAR","MIN","","","",""
"16403-6703","RB","Adrian","Peterson","3.3499999046325684","2","7800","MIN@CAR","MIN","CAR","IR","Knee - meniscus","",""
"16403-14254","RB","DeMarco","Murray","19.100000381469727","2","7700","OAK@TEN","TEN","OAK","","","",""
"16403-29358","QB","Marcus","Mariota","17.68000030517578","2","7700","OAK@TEN","TEN","OAK","","","",""
"16403-31001","WR","Amari","Cooper","14.149999618530273","2","7700","OAK@TEN","OAK","TEN","","","",""
"16403-6826","QB","Eli","Manning","15.800000190734863","2","7700","WAS@NYG","NYG","WAS","","","",""
"16403-6883","WR","Larry","Fitzgerald","20.350000381469727","2","7600","ARI@BUF","ARI","BUF","","","",""
"16403-6714","QB","Joe","Flacco","15.100000381469727","2","7600","BAL@JAC","BAL","JAC","","","",""
"16403-24849","QB","Jameis","Winston","17.579999923706055","2","7600","LA@TB","TB","LA","","","",""
"16403-14225","QB","Andy","Dalton","18.84000015258789","2","7500","DEN@CIN","CIN","DEN","","","",""
"16403-30298","TE","Jordan","Reed","9.699999809265137","2","7500","WAS@NYG","WAS","NYG","","","",""
"16403-6899","RB","Matt","Forte","23.950000762939453","2","7500","NYJ@KC","NYJ","KC","","","",""
"16403-21948","QB","Ryan","Tannehill","20.059999465942383","2","7400","CLE@MIA","MIA","CLE","","","",""
"16403-22031","WR","T.Y.","Hilton","8.5","2","7400","SD@IND","IND","SD","Q","Knee","",""
"16403-7659","QB","Ryan","Fitzpatrick","18.559999465942383","2","7300","NYJ@KC","NYJ","KC","","","",""
"16403-11501","WR","Eric","Decker","16.149999618530273","2","7300","NYJ@KC","NYJ","KC","","","",""
"16403-30968","RB","Eddie","Lacy","6.650000095367432","2","7300","DET@GB","GB","DET","","","",""
"16403-14377","QB","Tyrod","Taylor","15.460000038146973","2","7300","ARI@BUF","BUF","ARI","","","",""
"16403-70324","QB","Carson","Wentz","15.90999984741211","2","7200","PIT@PHI","PHI","PIT","","","",""
"16403-11432","WR","Demaryius","Thomas","10.149999618530273","2","7200","DEN@CIN","DEN","CIN","","","",""
"16403-14626","WR","Doug","Baldwin","11.600000381469727","2","7200","SF@SEA","SEA","SF","","","",""
"16403-22038","QB","Kirk","Cousins","15.760000228881836","2","7200","WAS@NYG","WAS","NYG","","","",""
"16403-14257","WR","Randall","Cobb","8.300000190734863","2","7100","DET@GB","GB","DET","","","",""
"16403-31716","QB","Dak","Prescott","14.279999732971191","2","7100","CHI@DAL","DAL","CHI","","","",""
"16403-28900","RB","Melvin","Gordon","18.600000381469727","2","7100","SD@IND","SD","IND","","","",""
"16403-34331","RB","Latavius","Murray","16.399999618530273","2","7100","OAK@TEN","OAK","TEN","","","",""
"16403-7283","WR","Jeremy","Maclin","12.25","2","7000","NYJ@KC","KC","NYJ","","","",""
"16403-31394","WR","Jarvis","Landry","12.949999809265137","2","7000","CLE@MIA","MIA","CLE","","","",""
"16403-6728","RB","Jamaal","Charles","18.11999969482422","5","7000","NYJ@KC","KC","NYJ","D","Knee","",""
"16403-21952","WR","Michael","Floyd","7.699999809265137","2","6900","ARI@BUF","ARI","BUF","","","",""
"16403-54684","RB","Isaiah","Crowell","18.049999237060547","2","6900","CLE@MIA","CLE","MIA","","","",""
"16403-32418","RB","Christine","Michael","8.100000381469727","2","6900","SF@SEA","SEA","SF","","","",""
"16403-24641","WR","Sammy","Watkins","4.650000095367432","2","6900","ARI@BUF","BUF","ARI","Q","Foot","",""
"16403-30837","WR","Jordan","Matthews","15.5","2","6900","PIT@PHI","PHI","PIT","","","",""
"16403-6803","QB","Josh","McCown","16.399999618530273","1","6900","CLE@MIA","CLE","MIA","O","Collarbone","",""
"16403-6863","TE","Delanie","Walker","11.5","2","6900","OAK@TEN","TEN","OAK","Q","Hamstring","",""
"16403-6898","QB","Jay","Cutler","8.0600004196167","2","6900","CHI@DAL","CHI","DAL","D","Thumb","",""
"16403-22103","WR","Marvin","Jones Jr.","13.149999618530273","2","6900","DET@GB","DET","GB","","","",""
"16403-22035","WR","Travis","Benjamin","16.549999237060547","2","6900","SD@IND","SD","IND","","","",""
"16403-21970","RB","Doug","Martin","7.199999809265137","2","6800","LA@TB","TB","LA","O","Hamstring","",""
"16403-10777","RB","Arian","Foster","6.199999809265137","2","6800","CLE@MIA","MIA","CLE","O","Groin","",""
"16403-8005","QB","Alex","Smith","16.329999923706055","2","6800","NYJ@KC","KC","NYJ","","","",""
"16403-6739","WR","DeSean","Jackson","9.350000381469727","2","6800","WAS@NYG","WAS","NYG","","","",""
