Id,Position,First Name,Last Name,FPPG,Played,Salary,Game,Team,Opponent,Injury Indicator,Injury Details
16404-14185,QB,Cam,Newton,26.48999977,2,9200,MIN@CAR,CAR,MIN,,
16404-6894,QB,Aaron,Rodgers,20.98999977,2,8900,DET@GB,GB,DET,,
16404-31360,WR,Odell,Beckham Jr.,10.94999981,2,8900,WAS@NYG,NYG,WAS,,
16404-62497,RB,David,Johnson,18.5,2,8400,ARI@BUF,ARI,BUF,,
16404-14187,WR,A.J.,Green,17.39999962,2,8300,DEN@CIN,CIN,DEN,,
16404-6893,WR,Jordy,Nelson,14,2,8300,DET@GB,GB,DET,,
16404-6654,QB,Matthew,Stafford,21.29999924,2,8200,DET@GB,DET,GB,,
16404-6748,QB,Carson,Palmer,21.54999924,2,8200,ARI@BUF,ARI,BUF,,
16404-45859,QB,Derek,Carr,23.65999985,2,8100,OAK@TEN,OAK,TEN,,
16404-29249,RB,C.J.,Anderson,22.35000038,2,8000,DEN@CIN,DEN,CIN,,
16404-34308,QB,Blake,Bortles,18.28000069,2,7900,BAL@JAC,JAC,BAL,,
16404-28643,WR,Allen,Robinson,8.550000191,2,7900,BAL@JAC,JAC,BAL,,
16404-6914,TE,Greg,Olsen,15.75,2,7800,MIN@CAR,CAR,MIN,,
16404-24929,WR,Kelvin,Benjamin,22.20000076,2,7800,MIN@CAR,CAR,MIN,,
16404-31001,WR,Amari,Cooper,14.14999962,2,7700,OAK@TEN,OAK,TEN,,
16404-14254,RB,DeMarco,Murray,19.10000038,2,7700,OAK@TEN,TEN,OAK,,
16404-6826,QB,Eli,Manning,15.80000019,2,7700,WAS@NYG,NYG,WAS,,
16404-29358,QB,Marcus,Mariota,17.68000031,2,7700,OAK@TEN,TEN,OAK,,
16404-6883,WR,Larry,Fitzgerald,20.35000038,2,7600,ARI@BUF,ARI,BUF,,
16404-6714,QB,Joe,Flacco,15.10000038,2,7600,BAL@JAC,BAL,JAC,,
16404-14225,QB,Andy,Dalton,18.84000015,2,7500,DEN@CIN,CIN,DEN,,
16404-30298,TE,Jordan,Reed,9.699999809,2,7500,WAS@NYG,WAS,NYG,,
16404-21948,QB,Ryan,Tannehill,20.05999947,2,7400,CLE@MIA,MIA,CLE,,
16404-30968,RB,Eddie,Lacy,6.650000095,2,7300,DET@GB,GB,DET,,
16404-14377,QB,Tyrod,Taylor,15.46000004,2,7300,ARI@BUF,BUF,ARI,,
16404-11432,WR,Demaryius,Thomas,10.14999962,2,7200,DEN@CIN,DEN,CIN,,
16404-22038,QB,Kirk,Cousins,15.76000023,2,7200,WAS@NYG,WAS,NYG,,
16404-14257,WR,Randall,Cobb,8.300000191,2,7100,DET@GB,GB,DET,,
16404-34331,RB,Latavius,Murray,16.39999962,2,7100,OAK@TEN,OAK,TEN,,
16404-31394,WR,Jarvis,Landry,12.94999981,2,7000,CLE@MIA,MIA,CLE,,
16404-21952,WR,Michael,Floyd,7.699999809,2,6900,ARI@BUF,ARI,BUF,,
16404-54684,RB,Isaiah,Crowell,18.04999924,2,6900,CLE@MIA,CLE,MIA,,
16404-22103,WR,Marvin,Jones Jr.,13.14999962,2,6900,DET@GB,DET,GB,,
16404-28434,QB,Trevor,Siemian,11.72999954,2,6700,DEN@CIN,DEN,CIN,,
16404-6779,RB,LeSean,McCoy,13,2,6700,ARI@BUF,BUF,ARI,,
16404-11414,QB,Sam,Bradford,19.13999939,1,6600,MIN@CAR,MIN,CAR,,
16404-31061,RB,T.J.,Yeldon,11.35000038,2,6600,BAL@JAC,JAC,BAL,,
16404-25760,WR,Allen,Hurns,9.199999809,2,6500,BAL@JAC,JAC,BAL,,
16404-11485,WR,Golden,Tate,5.050000191,2,6500,DET@GB,DET,GB,,
16404-6607,WR,Mike,Wallace,17.89999962,2,6500,BAL@JAC,BAL,JAC,,
16404-11505,WR,Emmanuel,Sanders,6.400000095,2,6500,DEN@CIN,DEN,CIN,,
16404-27477,WR,Sterling,Shepard,13.75,2,6500,WAS@NYG,NYG,WAS,,
16404-6857,RB,Justin,Forsett,6.349999905,2,6500,BAL@JAC,BAL,JAC,,
16404-9392,WR,Michael,Crabtree,12.64999962,2,6400,OAK@TEN,OAK,TEN,,
16404-25079,WR,Stefon,Diggs,21.20000076,2,6400,MIN@CAR,MIN,CAR,,
16404-33465,RB,Theo,Riddick,16.89999962,2,6400,DET@GB,DET,GB,,
16404-30244,RB,Matt,Jones,8.399999619,2,6400,WAS@NYG,WAS,NYG,,
16404-54606,WR,John,Brown,1.600000024,2,6400,ARI@BUF,ARI,BUF,,
16404-31397,RB,Jeremy,Hill,8.25,2,6400,DEN@CIN,CIN,DEN,,
16404-37245,RB,Fozzy,Whittaker,7.400000095,2,6300,MIN@CAR,CAR,MIN,,
16404-6735,WR,Steve,Smith Sr.,6.150000095,2,6300,BAL@JAC,BAL,JAC,,
16404-6479,WR,Anquan,Boldin,8.899999619,2,6200,DET@GB,DET,GB,,
16404-14317,TE,Julius,Thomas,12,2,6100,BAL@JAC,JAC,BAL,,
16404-6774,WR,Pierre,Garcon,5.800000191,2,6100,WAS@NYG,WAS,NYG,,
16404-29587,QB,Cody,Kessler,0,0,6000,CLE@MIA,CLE,MIA,,
16404-6627,WR,Ted,Ginn Jr.,3.799999952,2,6000,MIN@CAR,CAR,MIN,,
16404-14267,QB,Ryan,Mallett,10.99142892,7,6000,BAL@JAC,BAL,JAC,,
16404-7778,QB,Matt,Cassel,-0.100000001,1,6000,OAK@TEN,TEN,OAK,,
16404-31047,QB,AJ,McCarron,8.17999976,7,5900,DEN@CIN,CIN,DEN,,
16404-30989,RB,Kenyan,Drake,8.800000191,1,5900,CLE@MIA,MIA,CLE,,
16404-6844,QB,Shaun,Hill,10.23999977,1,5900,MIN@CAR,MIN,CAR,,
16404-11999,WR,Victor,Cruz,10.25,2,5800,WAS@NYG,NYG,WAS,,
16404-15212,WR,Terrelle,Pryor Sr.,6.5,2,5800,CLE@MIA,CLE,MIA,,
16404-6422,TE,Gary,Barnidge,2.849999905,2,5800,CLE@MIA,CLE,MIA,,
16404-47523,WR,Tajae,Sharpe,8.199999809,2,5800,OAK@TEN,TEN,OAK,,
16404-28080,WR,Devin,Funchess,5.150000095,2,5800,MIN@CAR,CAR,MIN,,
16404-40669,WR,Tyler,Boyd,6.099999905,2,5700,DEN@CIN,CIN,DEN,,
16404-25290,RB,Giovani,Bernard,12.10000038,2,5700,DEN@CIN,CIN,DEN,,
16404-45889,WR,Davante,Adams,7.300000191,2,5700,DET@GB,GB,DET,,
16404-46882,RB,Jay,Ajayi,4.5,1,5700,CLE@MIA,MIA,CLE,,
16404-11495,WR,Brandon,LaFell,8.25,2,5600,DEN@CIN,CIN,DEN,,
16404-14905,WR,Kamar,Aiken,1.200000048,2,5600,BAL@JAC,BAL,JAC,,
16404-22848,QB,Austin,Davis,7.393333435,3,5500,DEN@CIN,DEN,CIN,,
16404-11500,QB,Colt,McCoy,8.819999695,1,5500,WAS@NYG,WAS,NYG,,
16404-6808,QB,Matt,Moore,0.360000014,1,5500,CLE@MIA,MIA,CLE,,
16404-7844,QB,Chad,Henne,0,0,5500,BAL@JAC,JAC,BAL,,
16404-33463,QB,Paxton,Lynch,0,0,5500,DEN@CIN,DEN,CIN,,
16404-39280,RB,Derrick,Henry,5.400000095,2,5500,OAK@TEN,TEN,OAK,,
16404-28677,QB,Matt,McGloin,5.340000153,2,5500,OAK@TEN,OAK,TEN,,
16404-14292,TE,Jordan,Cameron,7.5,2,5400,CLE@MIA,MIA,CLE,,
16404-22163,WR,Rishard,Matthews,5.050000191,2,5400,OAK@TEN,TEN,OAK,,
16404-39580,RB,Devontae,Booker,2.200000048,2,5300,DEN@CIN,DEN,CIN,,
16404-32243,WR,Marquise,Goodwin,18.20000076,1,5300,ARI@BUF,BUF,ARI,,
16404-54608,RB,Jerick,McKinnon,1,2,5300,MIN@CAR,MIN,CAR,,
16404-62616,RB,Zach,Zenner,2.025000095,4,5200,DET@GB,DET,GB,,
16404-14245,RB,Shane,Vereen,6.849999905,2,5200,WAS@NYG,NYG,WAS,,
16404-21123,TE,Larry,Donnell,6.199999809,2,5200,WAS@NYG,NYG,WAS,,
16404-27457,WR,Kenny,Stills,6.5,2,5200,CLE@MIA,MIA,CLE,,
16404-54741,WR,Seth,Roberts,6.449999809,2,5200,OAK@TEN,OAK,TEN,,
16404-54607,RB,Terrance,West,5.5,2,5200,BAL@JAC,BAL,JAC,,
16404-29685,WR,Robert,Woods,2.75,2,5100,ARI@BUF,BUF,ARI,,
16404-25837,RB,Duke,Johnson Jr.,7.050000191,2,5100,CLE@MIA,CLE,MIA,,
16404-12546,D,Arizona,Cardinals,14.5,2,5100,ARI@BUF,ARI,BUF,,
16404-14237,TE,Kyle,Rudolph,9.550000191,2,5100,MIN@CAR,MIN,CAR,,
16404-34295,WR,Breshad,Perriman,4.099999905,2,5100,BAL@JAC,BAL,JAC,,
16404-11609,RB,James,Starks,2.099999905,2,5100,DET@GB,GB,DET,,
16404-24891,RB,Chris,Thompson,9.100000381,2,5100,WAS@NYG,WAS,NYG,,
16404-6566,RB,Chris,Johnson,5.800000191,2,5000,ARI@BUF,ARI,BUF,,
16404-70446,QB,Joe,Callahan,0,0,5000,DET@GB,GB,DET,,
16404-25775,TE,Clive,Walford,9,2,5000,OAK@TEN,OAK,TEN,,
16404-28163,QB,Connor,Cook,0,0,5000,OAK@TEN,OAK,TEN,,
16404-8071,QB,Dan,Orlovsky,5.519999981,2,5000,DET@GB,DET,GB,,
16404-47772,QB,Brandon,Doughty,0,0,5000,CLE@MIA,MIA,CLE,,
16404-43956,QB,David,Fales,0,0,5000,BAL@JAC,BAL,JAC,,
16404-26355,QB,Logan,Thomas,0,0,5000,WAS@NYG,NYG,WAS,,
16404-44500,QB,Keith,Wenning,0,0,5000,DEN@CIN,CIN,DEN,,
16404-12553,D,Carolina,Panthers,11,2,5000,MIN@CAR,CAR,MIN,,
16404-24755,WR,Jamison,Crowder,10.85000038,2,5000,WAS@NYG,WAS,NYG,,
16404-27801,QB,Nate,Sudfeld,0,0,5000,WAS@NYG,WAS,NYG,,
16404-8023,QB,Josh,Johnson,0,0,5000,WAS@NYG,NYG,WAS,,
16404-31170,QB,Brandon,Allen,0,0,5000,BAL@JAC,JAC,BAL,,
16404-26141,QB,Ryan,Nassib,6.71999979,1,5000,WAS@NYG,NYG,WAS,,
16404-27982,QB,Jake,Rudock,0,0,5000,DET@GB,DET,GB,,
16404-6373,QB,Derek,Anderson,0.413333337,3,5000,MIN@CAR,CAR,MIN,,
16404-29915,QB,Brett,Hundley,0,0,5000,DET@GB,GB,DET,,
16404-11532,TE,Dennis,Pitta,10.05000019,2,5000,BAL@JAC,BAL,JAC,,
16404-7761,TE,Jared,Cook,3.150000095,2,5000,DET@GB,GB,DET,,
16404-6681,WR,Andre,Johnson,5.949999809,2,5000,OAK@TEN,TEN,OAK,,
16404-30237,RB,Mike,Gillislee,4.199999809,2,5000,ARI@BUF,BUF,ARI,,
16404-7744,QB,Drew,Stanton,0.439999998,1,5000,ARI@BUF,ARI,BUF,,
16404-30253,QB,Jeff,Driskel,0,0,5000,DEN@CIN,CIN,DEN,,
16404-24949,QB,EJ,Manuel,0.600000024,1,5000,ARI@BUF,BUF,ARI,,
16404-11615,QB,Joe,Webb,-0.02,5,5000,MIN@CAR,CAR,MIN,,
16404-33578,RB,Jalen,Richard,9.850000381,2,4900,OAK@TEN,OAK,TEN,,
16404-6643,RB,Reggie,Bush,-0.400000006,1,4900,ARI@BUF,BUF,ARI,,
16404-32613,RB,DeAndre,Washington,4.300000191,2,4900,OAK@TEN,OAK,TEN,,
16404-24569,K,Chandler,Catanzaro,7,2,4900,ARI@BUF,ARI,BUF,,
16404-24589,WR,Jaron,Brown,8.550000191,2,4900,ARI@BUF,ARI,BUF,,
16404-10744,K,Graham,Gano,13.5,2,4900,MIN@CAR,CAR,MIN,,
16404-28486,WR,Corey,Brown,2.299999952,2,4900,MIN@CAR,CAR,MIN,,
16404-41806,WR,Laquon,Treadwell,0,0,4800,MIN@CAR,MIN,CAR,,
16404-7975,RB,Mike,Tolbert,1.850000024,2,4800,MIN@CAR,CAR,MIN,,
16404-38269,RB,Cameron,Artis-Payne,5.433333079,6,4800,MIN@CAR,CAR,MIN,,
16404-23045,K,Justin,Tucker,12,2,4800,BAL@JAC,BAL,JAC,,
16404-26038,TE,Tyler,Kroft,5,1,4800,DEN@CIN,CIN,DEN,,
16404-12531,D,Denver,Broncos,14,2,4800,DEN@CIN,DEN,CIN,,
16404-54623,WR,Jeff,Janis,0.988888847,9,4800,DET@GB,GB,DET,,
16404-24847,TE,Will,Tye,2.549999952,2,4800,WAS@NYG,NYG,WAS,,
16404-22054,WR,Jarius,Wright,4.139999898,15,4800,MIN@CAR,MIN,CAR,,
16404-26247,K,Brandon,McManus,9,2,4700,DEN@CIN,DEN,CIN,,
16404-34154,WR,J.J.,Nelson,1.600000024,1,4700,ARI@BUF,ARI,BUF,,
16404-14761,WR,Andre,Holmes,3.549999952,2,4700,OAK@TEN,OAK,TEN,,
16404-31207,TE,C.J.,Uzomah,4.650000095,2,4700,DEN@CIN,CIN,DEN,,
16404-24682,RB,Andre,Ellington,1.700000048,2,4700,ARI@BUF,ARI,BUF,,
16404-33766,RB,Rob,Kelley,0,0,4700,WAS@NYG,WAS,NYG,,
16404-6522,K,Josh,Brown,11,1,4700,WAS@NYG,NYG,WAS,,
16404-6897,K,Mason,Crosby,5.5,2,4700,DET@GB,GB,DET,,
16404-22110,K,Blair,Walsh,11,2,4700,MIN@CAR,MIN,CAR,,
16404-24862,WR,Rashad,Greene,1.299999952,2,4700,BAL@JAC,JAC,BAL,,
16404-10531,WR,Jordan,Norwood,1.950000048,2,4700,DEN@CIN,DEN,CIN,,
16404-29645,RB,Javorius,Allen,7.699999809,16,4600,BAL@JAC,BAL,JAC,,
16404-6636,K,Mike,Nugent,11,2,4600,DEN@CIN,CIN,DEN,,
16404-14757,RB,Matt,Asiata,2.150000095,2,4600,MIN@CAR,MIN,CAR,,
16404-29084,WR,Rashad,Ross,2.646153964,13,4600,WAS@NYG,WAS,NYG,,
16404-39449,WR,Charles,Johnson,1.75,2,4600,MIN@CAR,MIN,CAR,,
16404-28346,TE,Maxx,Williams,4.066666603,12,4600,BAL@JAC,BAL,JAC,,
16404-33703,WR,Ryan,Grant,0.5,2,4600,WAS@NYG,WAS,NYG,,
16404-45723,TE,Crockett,Gillmore,1.850000024,2,4600,BAL@JAC,BAL,JAC,,
16404-6810,K,Dan,Carpenter,4,2,4600,ARI@BUF,BUF,ARI,,
16404-12903,WR,Andrew,Hawkins,2.099999905,2,4600,CLE@MIA,CLE,MIA,,
16404-7831,K,Sebastian,Janikowski,6,2,4600,OAK@TEN,OAK,TEN,,
16404-30775,WR,Justin,Hunter,4.822222392,9,4600,CLE@MIA,MIA,CLE,,
16404-29314,TE,Richard,Rodgers,3.099999905,2,4600,DET@GB,GB,DET,,
16404-6870,TE,Vernon,Davis,5.050000191,2,4600,WAS@NYG,WAS,NYG,,
16404-6904,WR,Devin,Hester,0,2,4600,BAL@JAC,BAL,JAC,,
16404-30733,WR,Cordarrelle,Patterson,0.850000024,2,4600,MIN@CAR,MIN,CAR,,
16404-12539,D,Miami,Dolphins,8,2,4600,CLE@MIA,MIA,CLE,,
16404-28088,RB,Denard,Robinson,1.299999952,2,4600,BAL@JAC,JAC,BAL,,
16404-29821,WR,Jordan,Payton,0,0,4600,CLE@MIA,CLE,MIA,,
16404-14355,TE,Niles,Paul,2.099999905,1,4600,WAS@NYG,WAS,NYG,,
16404-38301,TE,Darren,Fells,5.099999905,1,4600,ARI@BUF,ARI,BUF,,
16404-6782,K,Matt,Prater,8,2,4600,DET@GB,DET,GB,,
16404-32483,WR,Josh,Boyce,0,0,4600,CLE@MIA,CLE,MIA,,
16404-62633,TE,Matt,Lengel,0,0,4500,DEN@CIN,CIN,DEN,,
16404-62634,K,Tom,Obarski,0,0,4500,WAS@NYG,NYG,WAS,,
16404-47828,RB,Antonio,Andrews,0,1,4500,OAK@TEN,TEN,OAK,,
16404-22010,WR,DeVier,Posey,0,0,4500,DEN@CIN,DEN,CIN,,
16404-70423,TE,Anthony,Norris,0,0,4500,DEN@CIN,DEN,CIN,,
16404-21984,RB,Isaiah,Pead,-1.700000048,1,4500,CLE@MIA,MIA,CLE,,
16404-24797,RB,Juwan,Thompson,1.612499952,8,4500,DEN@CIN,DEN,CIN,,
16404-33571,RB,George,Atkinson III,0,1,4500,CLE@MIA,CLE,MIA,,
16404-47861,TE,Mitchell,Henry,0,2,4500,DET@GB,GB,DET,,
16404-46088,RB,Jhurell,Pressley,0,0,4500,DET@GB,GB,DET,,
16404-30654,TE,Jerell,Adams,0,0,4500,WAS@NYG,NYG,WAS,,
16404-62619,K,Andrew,Franks,5.5,2,4500,CLE@MIA,MIA,CLE,,
16404-64104,RB,Terrell,Watson,0,0,4500,CLE@MIA,CLE,MIA,,
16404-62617,TE,Khari,Lee,0.300000012,4,4500,DET@GB,DET,GB,,
16404-43504,RB,Don,Jackson,0,0,4500,DET@GB,GB,DET,,
16404-11431,TE,Jermaine,Gresham,3.049999952,2,4500,ARI@BUF,ARI,BUF,,
16404-24817,TE,Nick,O'Leary,0,1,4500,ARI@BUF,BUF,ARI,,
16404-25789,WR,Rashawn,Scott,0,0,4500,CLE@MIA,MIA,CLE,,
16404-45683,RB,Kapri,Bibbs,0.899999976,2,4500,DEN@CIN,DEN,CIN,,
16404-70457,TE,Cole,Wick,1,1,4500,DET@GB,DET,GB,,
16404-70456,TE,Adam,Fuehne,0,0,4500,DET@GB,DET,GB,,
16404-29593,WR,Marqise,Lee,6.599999905,2,4500,BAL@JAC,JAC,BAL,,
16404-30678,WR,Damiere,Byrd,0,0,4500,MIN@CAR,CAR,MIN,,
16404-39153,TE,Ifeanyi,Momah,0,0,4500,ARI@BUF,ARI,BUF,,
16404-60745,K,Jason,Myers,7.5,2,4500,BAL@JAC,JAC,BAL,,
16404-6653,RB,Jerome,Felton,0.474999994,4,4500,ARI@BUF,BUF,ARI,,
16404-29583,TE,Randall,Telfer,0,0,4500,CLE@MIA,CLE,MIA,,
16404-24720,TE,Braxton,Deaver,0,0,4500,MIN@CAR,CAR,MIN,,
16404-25225,WR,Quinshad,Davis,0,0,4500,DET@GB,DET,GB,,
16404-27771,WR,Cody,Latimer,2.200000048,1,4500,DEN@CIN,DEN,CIN,,
16404-11504,WR,Andre,Roberts,0.649999976,2,4500,DET@GB,DET,GB,,
16404-70501,RB,C.J.,Ham,0,0,4500,MIN@CAR,MIN,CAR,,
16404-62668,TE,John,Peters,0,0,4500,DEN@CIN,CIN,DEN,,
16404-31524,WR,Cody,Core,0,0,4500,DEN@CIN,CIN,DEN,,
16404-28246,WR,Isaac,Fruechte,0,0,4500,DET@GB,DET,GB,,
16404-70506,TE,Ryan,O'Malley,0,0,4500,OAK@TEN,OAK,TEN,,
16404-30990,RB,Jalston,Fowler,2.525000095,8,4500,OAK@TEN,TEN,OAK,,
16404-39678,TE,E.J.,Bibbs,0.600000024,2,4500,CLE@MIA,CLE,MIA,,
16404-11488,TE,Ed,Dickson,0,1,4500,MIN@CAR,CAR,MIN,,
16404-32082,WR,Jordan,Taylor,2.5,1,4500,DEN@CIN,DEN,CIN,,
16404-22958,RB,Bobby,Rainey,0.19333334,15,4500,WAS@NYG,NYG,WAS,,
16404-52130,K,Patrick,Murray,3,2,4500,CLE@MIA,CLE,MIA,,
16404-39455,RB,Kerwynn,Williams,3.46666654,6,4500,ARI@BUF,ARI,BUF,,
16404-62515,WR,Neal,Sterling,0,9,4500,BAL@JAC,JAC,BAL,,
16404-39428,RB,Kyle,Juszczyk,2.299999952,2,4500,BAL@JAC,BAL,JAC,,
16404-31703,RB,Malcolm,Johnson,1.899999976,1,4500,CLE@MIA,CLE,MIA,,
16404-45791,WR,Rashard,Higgins,0,1,4500,CLE@MIA,CLE,MIA,,
16404-32185,RB,Zach,Line,2.863636364,11,4500,MIN@CAR,MIN,CAR,,
16404-32674,TE,Jace,Amaro,0,0,4500,OAK@TEN,TEN,OAK,,
16404-28311,TE,MarQueis,Gray,0.699999988,1,4500,CLE@MIA,MIA,CLE,,
16404-33691,RB,Orleans,Darkwa,0.699999988,1,4500,WAS@NYG,NYG,WAS,,
16404-14266,RB,Daniel,Thomas,0,0,4500,CLE@MIA,MIA,CLE,,
16404-38651,TE,Beau,Sandland,0,0,4500,MIN@CAR,CAR,MIN,,
16404-27338,RB,Rex,Burkhead,1.566666603,12,4500,DEN@CIN,CIN,DEN,,
16404-31184,RB,Jonathan,Williams,0,0,4500,ARI@BUF,BUF,ARI,,
16404-32703,WR,Jakeem,Grant,0,1,4500,CLE@MIA,MIA,CLE,,
16404-41370,WR,Trevor,Davis,0,1,4500,DET@GB,GB,DET,,
16404-11890,WR,Bryan,Walters,5.345454476,11,4500,BAL@JAC,JAC,BAL,,
