"Id","Position","First Name","Last Name","FPPG","Played","Salary","Game","Team","Opponent","Injury Indicator","Injury Details","",""
"16406-11612","WR","Antonio","Brown","17.25","2","9500","PIT@PHI","PIT","PHI","","","",""
"16406-6732","RB","DeAngelo","Williams","26.649999618530273","2","8800","PIT@PHI","PIT","PHI","","","",""
"16406-22015","QB","Russell","Wilson","12.239999771118164","2","8700","SF@SEA","SEA","SF","","","",""
"16406-21939","QB","Andrew","Luck","23.290000915527344","2","8700","SD@IND","IND","SD","Q","Shoulder","",""
"16406-6589","QB","Ben","Roethlisberger","22.280000686645508","2","8400","PIT@PHI","PIT","PHI","","","",""
"16406-30447","RB","Todd","Gurley","6.099999904632568","2","8300","LA@TB","LA","TB","","","",""
"16406-7968","QB","Philip","Rivers","19.209999084472656","2","8000","SD@IND","SD","IND","","","",""
"16406-32384","WR","Mike","Evans","17.200000762939453","2","8000","LA@TB","TB","LA","","","",""
"16406-6759","WR","Brandon","Marshall","8.899999618530273","2","7900","NYJ@KC","NYJ","KC","Q","Knee","",""
"16406-24849","QB","Jameis","Winston","17.579999923706055","2","7600","LA@TB","TB","LA","","","",""
"16406-6899","RB","Matt","Forte","23.950000762939453","2","7500","NYJ@KC","NYJ","KC","","","",""
"16406-22031","WR","T.Y.","Hilton","8.5","2","7400","SD@IND","IND","SD","Q","Knee","",""
"16406-7659","QB","Ryan","Fitzpatrick","18.559999465942383","2","7300","NYJ@KC","NYJ","KC","","","",""
"16406-11501","WR","Eric","Decker","16.149999618530273","2","7300","NYJ@KC","NYJ","KC","Q","Shoulder","",""
"16406-14626","WR","Doug","Baldwin","11.600000381469727","2","7200","SF@SEA","SEA","SF","","","",""
"16406-70324","QB","Carson","Wentz","15.90999984741211","2","7200","PIT@PHI","PHI","PIT","","","",""
"16406-28900","RB","Melvin","Gordon","18.600000381469727","2","7100","SD@IND","SD","IND","","","",""
"16406-7283","WR","Jeremy","Maclin","12.25","2","7000","NYJ@KC","KC","NYJ","","","",""
"16406-6728","RB","Jamaal","Charles","18.11999969482422","5","7000","NYJ@KC","KC","NYJ","Q","Knee","",""
"16406-30837","WR","Jordan","Matthews","15.5","2","6900","PIT@PHI","PHI","PIT","","","",""
"16406-32418","RB","Christine","Michael","8.100000381469727","2","6900","SF@SEA","SEA","SF","","","",""
"16406-22035","WR","Travis","Benjamin","16.549999237060547","2","6900","SD@IND","SD","IND","","","",""
"16406-21970","RB","Doug","Martin","7.199999809265137","2","6800","LA@TB","TB","LA","O","Hamstring","",""
"16406-8005","QB","Alex","Smith","16.329999923706055","2","6800","NYJ@KC","KC","NYJ","","","",""
"16406-22994","QB","Case","Keenum","7.130000114440918","2","6700","LA@TB","LA","TB","","","",""
"16406-31561","WR","Donte","Moncrief","8.399999618530273","2","6600","SD@IND","IND","SD","O","Shoulder","",""
"16406-11425","RB","Ryan","Mathews","14.850000381469727","2","6600","PIT@PHI","PHI","PIT","","","",""
"16406-28095","RB","Thomas","Rawls","4.800000190734863","2","6400","SF@SEA","SEA","SF","Q","Lower leg","",""
"16406-31871","RB","Charles","Sims","7.949999809265137","2","6300","LA@TB","TB","LA","","","",""
"16406-31459","RB","Spencer","Ware","19.450000762939453","2","6300","NYJ@KC","KC","NYJ","","","",""
"16406-22004","TE","Dwayne","Allen","9.399999618530273","2","6100","SD@IND","IND","SD","","","",""
"16406-62535","WR","Tyrell","Williams","10.850000381469727","2","6100","SD@IND","SD","IND","","","",""
"16406-28473","RB","Carlos","Hyde","13.5","2","6100","SF@SEA","SF","SEA","","","",""
"16406-27050","WR","Tyler","Lockett","7.550000190734863","2","6100","SF@SEA","SEA","SF","","","",""
"16406-33076","TE","Travis","Kelce","8.149999618530273","2","6000","NYJ@KC","KC","NYJ","","","",""
"16406-25813","WR","Phillip","Dorsett","7.449999809265137","2","6000","SD@IND","IND","SD","","","",""
"16406-38435","QB","Jared","Goff","0","0","6000","LA@TB","LA","TB","","","",""
