"Id","Position","First Name","Last Name","FPPG","Played","Salary","Game","Team","Opponent","Injury Indicator","Injury Details","",""
"16448-14185","QB","Cam","Newton","23.019999186197918","3","9300","CAR@ATL","CAR","ATL","","","",""
"16448-16606","WR","DeAndre","Hopkins","14.09999974568685","3","8600","TEN@HOU","HOU","TEN","","","",""
"16448-14190","WR","Julio","Jones","11.933333079020182","3","8500","CAR@ATL","ATL","CAR","","","",""
"16448-22015","QB","Russell","Wilson","12.833333333333334","3","8400","SEA@NYJ","SEA","NYJ","","","",""
"16448-6654","QB","Matthew","Stafford","23.366666158040363","3","8300","DET@CHI","DET","CHI","","","",""
"16448-21980","WR","Alshon","Jeffery","11.366666158040365","3","8200","DET@CHI","CHI","DET","Q","Knee","",""
"16448-22037","RB","Lamar","Miller","12.366666158040365","3","8200","TEN@HOU","HOU","TEN","","","",""
"16448-45859","QB","Derek","Carr","20.06000010172526","3","8000","OAK@BAL","OAK","BAL","","","",""
"16448-6616","QB","Matt","Ryan","24.366666158040363","3","7900","CAR@ATL","ATL","CAR","","","",""
"16448-6914","TE","Greg","Olsen","13.633333841959635","3","7900","CAR@ATL","CAR","ATL","","","",""
"16448-6714","QB","Joe","Flacco","14.653333028157553","3","7700","OAK@BAL","BAL","OAK","","","",""
"16448-24929","WR","Kelvin","Benjamin","14.800000508626303","3","7700","CAR@ATL","CAR","ATL","","","",""
"16448-31001","WR","Amari","Cooper","12.166666666666666","3","7600","OAK@BAL","OAK","BAL","","","",""
"16448-22103","WR","Marvin","Jones Jr.","20.599999745686848","3","7600","DET@CHI","DET","CHI","Q","Hamstring","",""
"16448-54604","QB","Jimmy","Garoppolo","17.920000076293945","2","7600","BUF@NE","NE","BUF","Q","Shoulder","",""
"16448-14377","QB","Tyrod","Taylor","16.093332926432293","3","7600","BUF@NE","BUF","NE","","","",""
"16448-22038","QB","Kirk","Cousins","16.953333536783855","3","7600","CLE@WAS","WAS","CLE","","","",""
"16448-6779","RB","LeSean","McCoy","17.03333282470703","3","7600","BUF@NE","BUF","NE","","","",""
"16448-11779","RB","LeGarrette","Blount","17.266666412353516","3","7500","BUF@NE","NE","BUF","","","",""
