"Id","Position","First Name","Last Name","FPPG","Played","Salary","Game","Team","Opponent","Injury Indicator","Injury Details","",""
"16452-11612","WR","Antonio","Brown","18.166666666666668","3","9400","KC@PIT","PIT","KC","","","",""
"16452-31360","WR","Odell","Beckham Jr.","12.5","3","8700","NYG@MIN","NYG","MIN","","","",""
"16452-6589","QB","Ben","Roethlisberger","17.513333638509113","3","8400","KC@PIT","PIT","KC","","","",""
"16452-28181","RB","Le'Veon","Bell","16.53333282470703","6","8300","KC@PIT","PIT","KC","","","",""
"16452-6826","QB","Eli","Manning","15.866666158040365","3","7500","NYG@MIN","NYG","MIN","","","",""
"16452-11414","QB","Sam","Bradford","14.890000343322754","2","7100","NYG@MIN","MIN","NYG","","","",""
"16452-25079","WR","Stefon","Diggs","16.133333841959637","3","7100","NYG@MIN","MIN","NYG","Q","Groin","",""
"16452-6728","RB","Jamaal","Charles","18.11999969482422","5","7000","KC@PIT","KC","PIT","Q","Knee","",""
"16452-7283","WR","Jeremy","Maclin","10","3","6900","KC@PIT","KC","PIT","","","",""
"16452-8005","QB","Alex","Smith","15.28000005086263","3","6900","KC@PIT","KC","PIT","","","",""
"16452-27477","WR","Sterling","Shepard","14.433333079020182","3","6900","NYG@MIN","NYG","MIN","","","",""
"16452-33076","TE","Travis","Kelce","11.40000025431315","3","6500","KC@PIT","KC","PIT","","","",""
"16452-31459","RB","Spencer","Ware","15.233333587646484","3","6200","KC@PIT","KC","PIT","","","",""
"16452-14245","RB","Shane","Vereen","9.40000025431315","3","6000","NYG@MIN","NYG","MIN","IR","Triceps","",""
"16452-22027","QB","Nick","Foles","9.64363653009588","11","6000","KC@PIT","KC","PIT","","","",""
"16452-6844","QB","Shaun","Hill","10.239999771118164","1","5900","NYG@MIN","MIN","NYG","","","",""
"16452-8052","RB","Rashad","Jennings","6.650000095367432","2","5900","NYG@MIN","NYG","MIN","Q","Thumb","",""
"16452-6732","RB","DeAngelo","Williams","19.900000254313152","3","5900","KC@PIT","PIT","KC","","","",""
"16452-54608","RB","Jerick","McKinnon","3.066666603088379","3","5800","NYG@MIN","MIN","NYG","","","",""
"16452-29500","WR","Markus","Wheaton","0.699999988079071","1","5800","KC@PIT","PIT","KC","","","",""
"16452-14757","RB","Matt","Asiata","2.2333332697550454","3","5700","NYG@MIN","MIN","NYG","","","",""
"16452-11999","WR","Victor","Cruz","9.666666666666666","3","5700","NYG@MIN","NYG","MIN","","","",""
"16452-14237","TE","Kyle","Rudolph","11.866666158040365","3","5600","NYG@MIN","MIN","NYG","","","",""
"16452-27405","QB","Landry","Jones","3.7171429225376675","7","5500","KC@PIT","PIT","KC","","","",""
"16452-33244","WR","Eli","Rogers","6.833333333333333","3","5400","KC@PIT","PIT","KC","O","Toe","",""
"16452-31241","WR","Sammie","Coates","8.133333206176758","3","5400","KC@PIT","PIT","KC","","","",""
"16452-21123","TE","Larry","Donnell","5","3","5100","NYG@MIN","NYG","MIN","","","",""
"16452-8023","QB","Josh","Johnson","0","0","5000","NYG@MIN","NYG","MIN","","","",""
"16452-26141","QB","Ryan","Nassib","6.71999979019165","1","5000","NYG@MIN","NYG","MIN","","","",""
"16452-30788","QB","Tyler","Bray","0","0","5000","KC@PIT","KC","PIT","","","",""
"16452-54705","QB","Dustin","Vaughan","0","0","5000","KC@PIT","PIT","KC","","","",""
"16452-26355","QB","Logan","Thomas","0","0","5000","NYG@MIN","NYG","MIN","","","",""
"16452-54687","RB","Charcandrick","West","4.899999936421712","3","5000","KC@PIT","KC","PIT","O","Ankle","",""
"16452-31421","QB","Zach","Mettenberger","7.028571537562779","7","5000","KC@PIT","PIT","KC","","","",""
"16452-53331","QB","Taylor","Heinicke","0","0","5000","NYG@MIN","MIN","NYG","O","Ankle","",""
"16452-22003","RB","Ronnie","Hillman","9.337499618530273","16","4900","NYG@MIN","MIN","NYG","","","",""
"16452-33714","K","Cairo","Santos","10.333333333333334","3","4900","KC@PIT","KC","PIT","","","",""
