"Id","Position","First Name","Last Name","FPPG","Played","Salary","Game","Team","Opponent","Injury Indicator","Injury Details","",""
"16453-62497","RB","David","Johnson","18.5","4","8700","ARI@SF","ARI","SF","","","",""
"16453-31360","WR","Odell","Beckham Jr.","12.5","3","8700","NYG@MIN","NYG","MIN","","","",""
"16453-6748","QB","Carson","Palmer","15.774999618530273","4","8000","ARI@SF","ARI","SF","Q","Head","",""
"16453-6826","QB","Eli","Manning","15.866666158040365","3","7500","NYG@MIN","NYG","MIN","","","",""
"16453-6883","WR","Larry","Fitzgerald","14.75","4","7500","ARI@SF","ARI","SF","","","",""
"16453-11414","QB","Sam","Bradford","14.890000343322754","2","7100","NYG@MIN","MIN","NYG","","","",""
"16453-25079","WR","Stefon","Diggs","16.133333841959637","3","7100","NYG@MIN","MIN","NYG","","","",""
"16453-27477","WR","Sterling","Shepard","14.433333079020182","3","6900","NYG@MIN","NYG","MIN","","","",""
"16453-28473","RB","Carlos","Hyde","16.600000381469727","4","6800","ARI@SF","SF","ARI","","","",""
"16453-21952","WR","Michael","Floyd","8.75","4","6500","ARI@SF","ARI","SF","","","",""
"16453-14194","QB","Blaine","Gabbert","14.055000305175781","4","6400","ARI@SF","SF","ARI","","","",""
"16453-54606","WR","John","Brown","8.149999618530273","4","6200","ARI@SF","ARI","SF","","","",""
"16453-14231","QB","Colin","Kaepernick","12.799999660915798","9","6000","ARI@SF","SF","ARI","","","",""
"16453-14245","RB","Shane","Vereen","9.40000025431315","3","6000","NYG@MIN","NYG","MIN","IR","Triceps","",""
"16453-6844","QB","Shaun","Hill","10.239999771118164","1","5900","NYG@MIN","MIN","NYG","","","",""
"16453-8052","RB","Rashad","Jennings","6.650000095367432","2","5900","NYG@MIN","NYG","MIN","Q","Thumb","",""
"16453-54608","RB","Jerick","McKinnon","3.066666603088379","3","5800","NYG@MIN","MIN","NYG","","","",""
"16453-14757","RB","Matt","Asiata","2.2333332697550454","3","5700","NYG@MIN","MIN","NYG","","","",""
"16453-11999","WR","Victor","Cruz","9.666666666666666","3","5700","NYG@MIN","NYG","MIN","","","",""
"16453-14237","TE","Kyle","Rudolph","11.866666158040365","3","5600","NYG@MIN","MIN","NYG","","","",""
"16453-14288","WR","Torrey","Smith","5.275000095367432","4","5600","ARI@SF","SF","ARI","","","",""
"16453-12546","D","Arizona","Cardinals","10.5","4","5300","ARI@SF","ARI","SF","","","",""
"16453-14198","QB","Christian","Ponder","0","0","5200","ARI@SF","SF","ARI","NA","Coach's decision","",""
"16453-14349","WR","Jeremy","Kerley","8.800000190734863","4","5200","ARI@SF","SF","ARI","","","",""
"16453-21123","TE","Larry","Donnell","5","3","5100","NYG@MIN","NYG","MIN","","","",""
"16453-7744","QB","Drew","Stanton","-0.03999999910593033","2","5000","ARI@SF","ARI","SF","","","",""
"16453-8023","QB","Josh","Johnson","0","0","5000","NYG@MIN","NYG","MIN","","","",""
"16453-26141","QB","Ryan","Nassib","6.71999979019165","1","5000","NYG@MIN","NYG","MIN","","","",""
"16453-26355","QB","Logan","Thomas","0","0","5000","NYG@MIN","NYG","MIN","","","",""
"16453-53331","QB","Taylor","Heinicke","0","0","5000","NYG@MIN","MIN","NYG","O","Ankle","",""
"16453-22003","RB","Ronnie","Hillman","9.337499618530273","16","4900","NYG@MIN","MIN","NYG","","","",""
"16453-6566","RB","Chris","Johnson","3.875","4","4900","ARI@SF","ARI","SF","Q","Groin","",""
"16453-39716","WR","Adam","Thielen","5.966666539510091","3","4900","NYG@MIN","MIN","NYG","","","",""
"16453-22958","RB","Bobby","Rainey","2.9000000953674316","1","4800","NYG@MIN","NYG","MIN","","","",""
"16453-39427","WR","Quinton","Patton","3.9000000953674316","4","4800","ARI@SF","SF","ARI","","","",""
"16453-15006","RB","Shaun","Draughn","3.424999952316284","4","4800","ARI@SF","SF","ARI","","","",""
"16453-6522","K","Josh","Brown","10","2","4800","NYG@MIN","NYG","MIN","","","",""
"16453-32045","TE","Vance","McDonald","7.933333079020183","3","4700","ARI@SF","SF","ARI","NA","Hip","",""
"16453-39449","WR","Charles","Johnson","1.1666666666666667","3","4700","NYG@MIN","MIN","NYG","","","",""
"16453-12540","D","Minnesota","Vikings","19.666666666666668","3","4700","NYG@MIN","MIN","NYG","","","",""
"16453-24589","WR","Jaron","Brown","6.175000190734863","4","4700","ARI@SF","ARI","SF","","","",""
"16453-24847","TE","Will","Tye","2.6666666666666665","3","4700","NYG@MIN","NYG","MIN","","","",""
"16453-38301","TE","Darren","Fells","3.1000000635782876","3","4700","ARI@SF","ARI","SF","","","",""
"16453-22054","WR","Jarius","Wright","4.1399998982747395","15","4700","NYG@MIN","MIN","NYG","","","",""
"16453-30733","WR","Cordarrelle","Patterson","1","3","4700","NYG@MIN","MIN","NYG","","","",""
"16453-24682","RB","Andre","Ellington","1.0750000476837158","4","4600","ARI@SF","ARI","SF","","","",""
"16453-41806","WR","Laquon","Treadwell","0","0","4600","NYG@MIN","MIN","NYG","","","",""
"16453-24569","K","Chandler","Catanzaro","6.75","4","4600","ARI@SF","ARI","SF","","","",""
"16453-34154","WR","J.J.","Nelson","2.25","2","4600","ARI@SF","ARI","SF","","","",""
"16453-39455","RB","Kerwynn","Williams","3.4666665395100913","6","4500","ARI@SF","ARI","SF","","","",""
"16453-27672","TE","Matt","LaCosse","3.700000047683716","1","4500","NYG@MIN","NYG","MIN","IR","Knee","",""
"16453-62505","TE","MyCole","Pruitt","1.3899999618530274","10","4500","NYG@MIN","MIN","NYG","","","",""
"16453-29866","RB","Paul","Perkins","0","0","4500","NYG@MIN","NYG","MIN","","","",""
"16453-26411","TE","Ryan","Malleck","0","0","4500","NYG@MIN","NYG","MIN","","","",""
"16453-22110","K","Blair","Walsh","9.333333333333334","3","4500","NYG@MIN","MIN","NYG","","","",""
"16453-30598","TE","Busta","Anderson","0","0","4500","ARI@SF","SF","ARI","","","",""
"16453-32185","RB","Zach","Line","2.8636363636363638","11","4500","NYG@MIN","MIN","NYG","","","",""
"16453-53532","WR","Roger","Lewis","0","0","4500","NYG@MIN","NYG","MIN","","","",""
"16453-46767","TE","Je'Ron","Hamm","0","1","4500","ARI@SF","SF","ARI","","","",""
"16453-33691","RB","Orleans","Darkwa","6.699999809265137","2","4500","NYG@MIN","NYG","MIN","","","",""
"16453-30654","TE","Jerell","Adams","0","0","4500","NYG@MIN","NYG","MIN","","","",""
"16453-25554","RB","Nikita","Whitlock","0","14","4500","NYG@MIN","NYG","MIN","O","Suspension","",""
"16453-14406","RB","Bruce","Miller","2.589999961853027","10","4500","ARI@SF","SF","ARI","","","",""
"16453-29723","RB","Stepfan","Taylor","1.1166666348775227","6","4500","ARI@SF","ARI","SF","","","",""
"16453-22938","WR","Rod","Streater","2.0999999046325684","2","4500","ARI@SF","SF","ARI","","","",""
"16453-11431","TE","Jermaine","Gresham","1.524999976158142","4","4500","ARI@SF","ARI","SF","","","",""
"16453-30635","RB","Mike","Davis","0.5333333412806193","3","4500","ARI@SF","SF","ARI","","","",""
"16453-29854","TE","Kevin","McDermott","0","16","4500","NYG@MIN","MIN","NYG","","","",""
"16453-6702","K","Phil","Dawson","5.5","4","4500","ARI@SF","SF","ARI","","","",""
"16453-39512","RB","Kendall","Gaskins","3.674999952316284","4","4500","ARI@SF","SF","ARI","","","",""
"16453-21547","RB","Will","Johnson","2.2600000381469725","5","4500","NYG@MIN","NYG","MIN","IR","Shoulder","",""
"16453-48482","TE","David","Morgan","0","0","4500","NYG@MIN","MIN","NYG","O","Knee","",""
"16453-39153","TE","Ifeanyi","Momah","0","0","4500","ARI@SF","ARI","SF","","","",""
"16453-31378","WR","Kadron","Boone","0","0","4500","NYG@MIN","NYG","MIN","","","",""
"16453-30412","WR","Tavarres","King","0","0","4500","NYG@MIN","NYG","MIN","","","",""
"16453-14643","RB","DuJuan","Harris","7.775000095367432","4","4500","ARI@SF","SF","ARI","","","",""
"16453-22754","TE","Garrett","Celek","4.525000095367432","4","4500","ARI@SF","SF","ARI","","","",""
"16453-14358","WR","Dwayne","Harris","0","3","4500","NYG@MIN","NYG","MIN","","","",""
"16453-70501","RB","C.J.","Ham","0","0","4500","NYG@MIN","MIN","NYG","","","",""
"16453-27403","TE","Blake","Bell","0.550000011920929","2","4500","ARI@SF","SF","ARI","","","",""
"16453-33488","TE","Troy","Niklas","0.25","2","4500","ARI@SF","ARI","SF","IR","Wrist","",""
"16453-29237","WR","Chris","Harper","-0.29999999205271405","3","4500","ARI@SF","SF","ARI","","","",""
"16453-22065","TE","Rhett","Ellison","2.299999952316284","1","4500","NYG@MIN","MIN","NYG","","","",""
"16453-28226","WR","Aaron","Burbridge","0.5","2","4500","ARI@SF","SF","ARI","","","",""
"16453-12543","D","New York","Giants","6","3","4400","NYG@MIN","NYG","MIN","","","",""
"16453-12549","D","San Francisco","49ers","6.75","4","4200","ARI@SF","SF","ARI","","","",""
