"Id","Position","First Name","Last Name","FPPG","Played","Salary","Game","Team","Opponent","Injury Indicator","Injury Details","",""
"16566-11612","WR","Antonio","Brown","18.639999389648438","5","9700","PIT@MIA","PIT","MIA","","","",""
"16566-28181","RB","Le'Veon","Bell","20.100000381469727","2","9300","PIT@MIA","PIT","MIA","","","",""
"16566-6498","QB","Tom","Brady","29.639999389648438","1","9000","CIN@NE","NE","CIN","","","",""
"16566-14185","QB","Cam","Newton","21.165000915527344","4","8900","CAR@NO","CAR","NO","Q","Concussion","",""
"16566-14254","RB","DeMarco","Murray","20.660000610351563","5","8800","CLE@TEN","TEN","CLE","","","",""
"16566-6589","QB","Ben","Roethlisberger","23.12799987792969","5","8700","PIT@MIA","PIT","MIA","","","",""
"16566-28643","WR","Allen","Robinson","13.074999809265137","4","8600","JAC@CHI","JAC","CHI","","","",""
"16566-6504","QB","Drew","Brees","21.690000534057617","4","8500","CAR@NO","NO","CAR","","","",""
"16566-14187","WR","A.J.","Green","16.360000610351562","5","8400","CIN@NE","CIN","NE","","","",""
"16566-11460","TE","Rob","Gronkowski","5","3","8400","CIN@NE","NE","CIN","Q","Hamstring","",""
"16566-31360","WR","Odell","Beckham Jr.","11.080000305175782","5","8300","BAL@NYG","NYG","BAL","","","",""
"16566-6779","RB","LeSean","McCoy","17.539999389648436","5","8200","SF@BUF","BUF","SF","","","",""
"16566-6914","TE","Greg","Olsen","16.41999969482422","5","8100","CAR@NO","CAR","NO","","","",""
"16566-6654","QB","Matthew","Stafford","19.824000549316406","5","8000","LA@DET","DET","LA","","","",""
"16566-30447","RB","Todd","Gurley","11.94000015258789","5","7900","LA@DET","LA","DET","","","",""
"16566-34308","QB","Blake","Bortles","19.225000381469727","4","7800","JAC@CHI","JAC","CHI","","","",""
"16566-24929","WR","Kelvin","Benjamin","13.060000610351562","5","7800","CAR@NO","CAR","NO","Q","Knee","",""
"16566-14377","QB","Tyrod","Taylor","16.136000061035155","5","7800","SF@BUF","BUF","SF","","","",""
"16566-6826","QB","Eli","Manning","13.419999694824218","5","7700","BAL@NYG","NYG","BAL","","","",""
"16566-42142","RB","Jordan","Howard","13.449999809265137","4","7700","JAC@CHI","CHI","JAC","","","",""
"16566-22103","WR","Marvin","Jones Jr.","16.68000030517578","5","7700","LA@DET","DET","LA","","","",""
"16566-21980","WR","Alshon","Jeffery","10.080000305175782","5","7600","JAC@CHI","CHI","JAC","Q","Hamstring","",""
"16566-14225","QB","Andy","Dalton","17.144000244140624","5","7600","CIN@NE","CIN","NE","","","",""
"16566-29358","QB","Marcus","Mariota","16.344000244140624","5","7600","CLE@TEN","TEN","CLE","","","",""
"16566-29501","WR","Brandin","Cooks","12.050000190734863","4","7500","CAR@NO","NO","CAR","","","",""
"16566-70324","QB","Carson","Wentz","17.69499969482422","4","7500","PHI@WAS","PHI","WAS","","","",""
"16566-30298","TE","Jordan","Reed","12.019999694824218","5","7500","PHI@WAS","WAS","PHI","Q","Head","",""
"16566-6714","QB","Joe","Flacco","15.796000671386718","5","7500","BAL@NYG","BAL","NYG","","","",""
"16566-22038","QB","Kirk","Cousins","16.496000671386717","5","7400","PHI@WAS","WAS","PHI","","","",""
"16566-28473","RB","Carlos","Hyde","17.360000610351562","5","7300","SF@BUF","SF","BUF","","","",""
"16566-7859","WR","Julian","Edelman","7.6400001525878904","5","7200","CIN@NE","NE","CIN","Q","Foot","",""
"16566-21948","QB","Ryan","Tannehill","15.055999755859375","5","7100","PIT@MIA","MIA","PIT","","","",""
"16566-15212","WR","Terrelle","Pryor Sr.","12.240000152587891","5","7000","CLE@TEN","CLE","TEN","","","",""
"16566-11779","RB","LeGarrette","Blount","13.760000610351563","5","7000","CIN@NE","NE","CIN","Q","Hip","",""
"16566-44449","WR","Willie","Snead","14.800000508626303","3","7000","CAR@NO","NO","CAR","","","",""
"16566-7872","QB","Brian","Hoyer","16.389999389648438","4","7000","JAC@CHI","CHI","JAC","","","",""
"16566-6898","QB","Jay","Cutler","8.0600004196167","2","7000","JAC@CHI","CHI","JAC","Q","Thumb","",""
"16566-31394","WR","Jarvis","Landry","12.61999969482422","5","6900","PIT@MIA","MIA","PIT","","","",""
"16566-31397","RB","Jeremy","Hill","9.3","5","6900","CIN@NE","CIN","NE","","","",""
"16566-14211","RB","Mark","Ingram","14.149999618530273","4","6700","CAR@NO","NO","CAR","Q","Illness","",""
"16566-27477","WR","Sterling","Shepard","10.140000152587891","5","6700","BAL@NYG","NYG","BAL","","","",""
"16566-31061","RB","T.J.","Yeldon","10.050000190734863","4","6700","JAC@CHI","JAC","CHI","","","",""
"16566-30837","WR","Jordan","Matthews","12.100000381469727","4","6700","PHI@WAS","PHI","WAS","","","",""
"16566-6803","QB","Josh","McCown","16.399999618530273","1","6700","CLE@TEN","CLE","TEN","Q","Collarbone","",""
"16566-6863","TE","Delanie","Walker","10.625","4","6700","CLE@TEN","TEN","CLE","","","",""
"16566-6448","TE","Martellus","Bennett","13.3","5","6600","CIN@NE","NE","CIN","Q","Ankle","",""
"16566-33465","RB","Theo","Riddick","14.61999969482422","5","6600","LA@DET","DET","LA","Q","Ankle","",""
"16566-10777","RB","Arian","Foster","6.199999809265137","2","6500","PIT@MIA","MIA","PIT","Q","Hamstring","",""
"16566-22994","QB","Case","Keenum","11.168000030517579","5","6500","LA@DET","LA","DET","","","",""
"16566-54684","RB","Isaiah","Crowell","14.039999389648438","5","6500","CLE@TEN","CLE","TEN","","","",""
"16566-30244","RB","Matt","Jones","10.219999694824219","5","6500","PHI@WAS","WAS","PHI","","","",""
"16566-54607","RB","Terrance","West","8.8","5","6500","BAL@NYG","BAL","NYG","","","",""
"16566-11425","RB","Ryan","Mathews","10.800000190734863","4","6500","PHI@WAS","PHI","WAS","","","",""
"16566-6607","WR","Mike","Wallace","11.94000015258789","5","6400","BAL@NYG","BAL","NYG","","","",""
"16566-14194","QB","Blaine","Gabbert","15.539999389648438","5","6400","SF@BUF","SF","BUF","","","",""
"16566-14231","QB","Colin","Kaepernick","12.799999660915798","9","6400","SF@BUF","SF","BUF","","","",""
"16566-31241","WR","Sammie","Coates","12.819999694824219","5","6400","PIT@MIA","PIT","MIA","Q","Finger","",""
"16566-11485","WR","Golden","Tate","4.779999923706055","5","6400","LA@DET","DET","LA","","","",""
"16566-6739","WR","DeSean","Jackson","8.55999984741211","5","6400","PHI@WAS","WAS","PHI","","","",""
"16566-29587","QB","Cody","Kessler","9.420000076293945","3","6300","CLE@TEN","CLE","TEN","","","",""
"16566-33260","WR","DeVante","Parker","9.550000190734863","4","6300","PIT@MIA","MIA","PIT","","","",""
"16566-6733","RB","Jonathan","Stewart","4.5","2","6300","CAR@NO","CAR","NO","","","",""
"16566-6768","WR","Eddie","Royal","11.780000305175781","5","6300","JAC@CHI","CHI","JAC","Q","Calf","",""
"16566-31732","WR","Corey","Coleman","16.399999618530273","2","6200","CLE@TEN","CLE","TEN","O","Hand","",""
"16566-25760","WR","Allen","Hurns","9.024999618530273","4","6200","JAC@CHI","JAC","CHI","","","",""
"16566-14267","QB","Ryan","Mallett","10.991428920200892","7","6000","BAL@NYG","BAL","NYG","","","",""
"16566-6479","WR","Anquan","Boldin","8.180000305175781","5","6000","LA@DET","DET","LA","Q","Ankle","",""
"16566-30231","QB","Jacoby","Brissett","9.433333079020182","3","6000","CIN@NE","NE","CIN","IR","Thumb","",""
"16566-54604","QB","Jimmy","Garoppolo","11.846666971842447","3","6000","CIN@NE","NE","CIN","Q","Shoulder","",""
"16566-33557","TE","Tyler","Eifert","12.73076923076923","13","6000","CIN@NE","CIN","NE","Q","Back","",""
"16566-38435","QB","Jared","Goff","0","0","6000","LA@DET","LA","DET","","","",""
"16566-24755","WR","Jamison","Crowder","10.319999694824219","5","6000","PHI@WAS","WAS","PHI","","","",""
"16566-7970","QB","Charlie","Whitehurst","10.380000114440918","1","6000","CLE@TEN","CLE","TEN","","","",""
