"","TeamID","Name","Week","Team.x","Opp","Score","Comp.x","Att","Yds","TD","Int.x","Sck.x","FUM","Rate.x","Oppt.x","Avg","Rec","FG.Made","FG.Att","XP.Made","XP.Att","Pts","Year","GID","Pos","Team.y","h.a","Oppt.y","FD.points","FD.salary","TeamID.y","Team","Rk.x","G.x","Pts.G.x","TotPts.x","Att.x","Att.G.x","Yds.x","Avg.x","Yds.G.x","TD.x","Lng.x","X1st.x","X1st..x","X20..x","X40..x","FUM.x","Rk.y","G.y","Pts.G.y","TotPts.y","Comp.y","Att.y","Pct","Att.G.y","Yds.y","Avg.y","Yds.G.y","TD.y","Int.y","X1st.y","X1st..y","Lng.y","X20..y","X40..y","Sck.y","Rate.y","Rk","G","Pts.G","TotPts","Scrm.Plys","Yds.G","Yds.P","X1st.G","X3rd.Md","X3rd.Att","X3rd.Pct","X4th.Md","X4th.Att","X4th.Pct","Pen","Pen.Yds","ToP.G","FUM.y","Lost"
"1",4,"Johnson, David",3,"ari","@ BUF","L  18-33",0,19,83,2,0,0,0,0,"buf",4.4,0,0,0,0,0,0,2016,4450,"TE","PIT","t","kc","1","4500",16,"Buffalo Bills",14,3,22.7,68,86,28.7,294,3.4,98,5,"22T",16,18.6,1,0,2,22,3,22.7,68,72,117,61.5,39,"855",7.9,285,2,4,46,39.3,"66T",13,1,10,77.5,23,3,22.7,68,213,383,5.4,23.7,19,43,44,0,2,0,21,135,"35:22",6,3
"2",4,"Johnson, David",3,"ari","@ BUF","L  18-33",0,19,83,2,0,0,0,0,"buf",4.4,0,0,0,0,0,0,2016,5395,"TE","PIT","t","kc","1","4500",16,"Buffalo Bills",14,3,22.7,68,86,28.7,294,3.4,98,5,"22T",16,18.6,1,0,2,22,3,22.7,68,72,117,61.5,39,"855",7.9,285,2,4,46,39.3,"66T",13,1,10,77.5,23,3,22.7,68,213,383,5.4,23.7,19,43,44,0,2,0,21,135,"35:22",6,3
"3",4,"Johnson, David",3,"ari","@ BUF","L  18-33",0,0,28,0,0,0,0,0,"buf",9.3,3,0,0,0,0,0,2016,4450,"TE","PIT","t","kc","1","4500",16,"Buffalo Bills",14,3,22.7,68,86,28.7,294,3.4,98,5,"22T",16,18.6,1,0,2,22,3,22.7,68,72,117,61.5,39,"855",7.9,285,2,4,46,39.3,"66T",13,1,10,77.5,23,3,22.7,68,213,383,5.4,23.7,19,43,44,0,2,0,21,135,"35:22",6,3
"4",4,"Johnson, David",3,"ari","@ BUF","L  18-33",0,0,28,0,0,0,0,0,"buf",9.3,3,0,0,0,0,0,2016,5395,"TE","PIT","t","kc","1","4500",16,"Buffalo Bills",14,3,22.7,68,86,28.7,294,3.4,98,5,"22T",16,18.6,1,0,2,22,3,22.7,68,72,117,61.5,39,"855",7.9,285,2,4,46,39.3,"66T",13,1,10,77.5,23,3,22.7,68,213,383,5.4,23.7,19,43,44,0,2,0,21,135,"35:22",6,3
"5",5,"Asiata, Matt",3,"min","@ CAR","W  22-10",0,6,15,0,0,0,0,0,"car",2.5,0,0,0,0,0,0,2016,2873,"RB","MIN","t","nyg","2.23333326975505","5700",22,"Carolina Panthers",10,3,23.3,70,79,26.3,271,3.4,90.3,3,"28T",14,17.7,2,0,2,5,3,23.3,70,53,90,58.9,30,"549",6.6,183,4,4,35,38.9,"75T",6,1,6,74.9,3,3,23.3,70,175,273.3,4.7,16.7,12,36,33,1,2,50,16,114,"25:37",3,2
"6",5,"Asiata, Matt",3,"min","@ CAR","W  22-10",0,0,4,0,0,0,0,0,"car",4,1,0,0,0,0,0,2016,2873,"RB","MIN","t","nyg","2.23333326975505","5700",22,"Carolina Panthers",10,3,23.3,70,79,26.3,271,3.4,90.3,3,"28T",14,17.7,2,0,2,5,3,23.3,70,53,90,58.9,30,"549",6.6,183,4,4,35,38.9,"75T",6,1,6,74.9,3,3,23.3,70,175,273.3,4.7,16.7,12,36,33,1,2,50,16,114,"25:37",3,2
"7",5,"Bradford, Sam",3,"min","@ CAR","W  22-10",18,28,171,1,0,2,0,93,"car",0,0,0,0,0,0,0,2016,1344,"QB","MIN","t","nyg","14.8900003433228","7100",22,"Carolina Panthers",10,3,23.3,70,79,26.3,271,3.4,90.3,3,"28T",14,17.7,2,0,2,5,3,23.3,70,53,90,58.9,30,"549",6.6,183,4,4,35,38.9,"75T",6,1,6,74.9,3,3,23.3,70,175,273.3,4.7,16.7,12,36,33,1,2,50,16,114,"25:37",3,2
"8",5,"Bradford, Sam",3,"min","@ CAR","W  22-10",0,2,-2,0,0,0,0,0,"car",-1,0,0,0,0,0,0,2016,1344,"QB","MIN","t","nyg","14.8900003433228","7100",22,"Carolina Panthers",10,3,23.3,70,79,26.3,271,3.4,90.3,3,"28T",14,17.7,2,0,2,5,3,23.3,70,53,90,58.9,30,"549",6.6,183,4,4,35,38.9,"75T",6,1,6,74.9,3,3,23.3,70,175,273.3,4.7,16.7,12,36,33,1,2,50,16,114,"25:37",3,2
"9",5,"Ellison, Rhett",3,"min","@ CAR","W  22-10",0,0,18,0,0,0,0,0,"car",18,1,0,0,0,0,0,2016,4554,"TE","MIN","t","nyg","2.29999995231628","4500",22,"Carolina Panthers",10,3,23.3,70,79,26.3,271,3.4,90.3,3,"28T",14,17.7,2,0,2,5,3,23.3,70,53,90,58.9,30,"549",6.6,183,4,4,35,38.9,"75T",6,1,6,74.9,3,3,23.3,70,175,273.3,4.7,16.7,12,36,33,1,2,50,16,114,"25:37",3,2
"10",5,"Johnson, Charles",3,"min","@ CAR","W  22-10",0,0,0,0,0,0,0,0,"car",0,0,0,0,0,0,0,2016,3103,"WR","MIN","t","nyg","1.16666666666667","4700",22,"Carolina Panthers",10,3,23.3,70,79,26.3,271,3.4,90.3,3,"28T",14,17.7,2,0,2,5,3,23.3,70,53,90,58.9,30,"549",6.6,183,4,4,35,38.9,"75T",6,1,6,74.9,3,3,23.3,70,175,273.3,4.7,16.7,12,36,33,1,2,50,16,114,"25:37",3,2
