Week;Year;GID;Name;Pos;Team;h/a;Oppt;FD points;FD salary
2;2016;1378;Newton, Cam;QB;car;h;sfo;30.82;9000
2;2016;1301;Ryan, Matt;QB;atl;a;oak;28.84;7900
2;2016;1400;Taylor, Tyrod;QB;buf;h;nyj;25.38;6900
2;2016;1410;Tannehill, Ryan;QB;mia;a;nwe;25.06;6700
2;2016;1441;Carr, Derek;QB;oak;h;atl;24.96;8300
2;2016;1207;Palmer, Carson;QB;ari;h;tam;24.32;8200
2;2016;1231;Rivers, Philip;QB;sdg;h;jac;23.8;7700
2;2016;1381;Gabbert, Blaine;QB;sfo;a;car;22.72;6200
2;2016;1232;Roethlisberger, Ben;QB;pit;h;cin;21.76;8300
2;2016;1452;Garoppolo, Jimmy;QB;nwe;h;mia;21.36;7100
2;2016;1242;Fitzpatrick, Ryan;QB;nyj;a;buf;21.06;7100
2;2016;1442;Bortles, Blake;QB;jac;a;sdg;20.56;8100
2;2016;1415;Cousins, Kirk;QB;was;h;dal;19.56;7800
2;2016;1403;Dalton, Andy;QB;cin;a;pit;19.34;7800
2;2016;1344;Bradford, Sam;QB;min;h;gnb;19.14;6800
2;2016;1252;Rodgers, Aaron;QB;gnb;a;min;18.42;8700
2;2016;1501;Prescott, Dak;QB;dal;a;was;18.28;7000
2;2016;1302;Flacco, Joe;QB;bal;a;cle;18.18;7400
2;2016;1466;Mariota, Marcus;QB;ten;a;det;17.62;7500
2;2016;1340;Stafford, Matthew;QB;det;h;ten;16.5;7800
2;2016;1175;McCown, Josh;QB;cle;h;bal;16.4;6000
2;2016;1151;Brees, Drew;QB;nor;a;nyg;14.52;9200
2;2016;1414;Osweiler, Brock;QB;hou;h;kan;12.42;7200
2;2016;1488;Siemian, Trevor;QB;den;h;ind;12.34;6400
2;2016;1225;Manning, Eli;QB;nyg;h;nor;12.32;8100
2;2016;1412;Wilson, Russell;QB;sea;a;lar;11.56;8400
2;2016;1409;Luck, Andrew;QB;ind;a;den;11.08;8500
2;2016;1435;Keenum, Case;QB;lar;h;sea;10.06;6600
2;2016;1465;Winston, Jameis;QB;tam;a;ari;8.62;7600
2;2016;1496;Brissett, Jacoby;QB;nwe;h;mia;4.88;5000
2;2016;1254;Smith, Alex;QB;kan;a;hou;3.64;7000
2;2016;1421;Manuel, E.J.;QB;buf;h;nyj;0.6;5000
2;2016;1290;Stanton, Drew;QB;ari;h;tam;0.44;5000
2;2016;1490;Goff, Jared;QB;lar;h;sea;0;6500
2;2016;1234;Schaub, Matt;QB;atl;a;oak;0;6000
2;2016;1493;Boykin, Trevone;QB;sea;a;lar;0;5000
2;2016;1437;McGloin, Matt;QB;oak;h;atl;0;5500
2;2016;1241;Cassel, Matt;QB;ten;a;det;-0.1;6000
2;2016;1262;Clemens, Kellen;QB;sdg;h;jac;-0.1;5000
2;2016;2613;Forte, Matt;RB;nyj;a;buf;29.9;6800
2;2016;2969;Crowell, Isaiah;RB;cle;h;bal;21.3;5800
2;2016;2500;Williams, DeAngelo;RB;pit;h;cin;21.2;7600
2;2016;2889;Bernard, Giovani;RB;cin;a;pit;20.2;5500
2;2016;2991;Gordon, Melvin;RB;sdg;h;jac;19.5;6600
2;2016;2899;Murray, Latavius;RB;oak;h;atl;19.1;7100
2;2016;2721;Blount, LeGarrette;RB;nwe;h;mia;18.3;6000
2;2016;2831;Murray, DeMarco;RB;ten;a;det;18;7400
2;2016;2924;Anderson, C.J.;RB;den;h;ind;16.8;7800
2;2016;5395;Johnson, David;RB;ari;h;tam;15.8;9000
2;2016;2994;Coleman, Tevin;RB;atl;a;oak;14.1;6100
2;2016;2467;Gore, Frank;RB;ind;a;den;13.8;5700
2;2016;5444;Elliott, Ezekiel;RB;dal;a;was;13.7;7900
2;2016;3552;Jones, Matt;RB;was;h;dal;13;6200
2;2016;2916;Whittaker, Fozzy;RB;car;h;sfo;12.6;4800
2;2016;2645;Johnson, Chris;RB;ari;h;tam;11.4;5600
2;2016;2707;McCoy, LeSean;RB;buf;h;nyj;11;6800
2;2016;2859;Miller, Lamar;RB;hou;h;kan;10.7;7700
2;2016;2914;Ware, Spencer;RB;kan;a;hou;9.5;6800
2;2016;2930;Freeman, Devonta;RB;atl;a;oak;9.3;7400
2;2016;5446;Drake, Kenyan;RB;mia;a;nwe;8.8;4900
2;2016;2907;Riddick, Theo;RB;det;h;ten;8.5;5900
2;2016;2894;Gillislee, Mike;RB;buf;h;nyj;8.3;4800
2;2016;2898;Michael, Christine;RB;sea;a;lar;8.1;5900
2;2016;5405;Grant, Corey;RB;jac;a;sdg;8;4500
2;2016;2993;Yeldon, T.J.;RB;jac;a;sdg;7.8;6500
2;2016;2997;Johnson, Duke;RB;cle;h;bal;7.6;5400
2;2016;2992;Gurley, Todd;RB;lar;h;sea;7.5;8400
2;2016;2928;Hill, Jeremy;RB;cin;a;pit;7.4;6600
2;2016;2915;Thompson, Chris;RB;was;h;dal;7.3;5200
2;2016;2867;Turbin, Robert;RB;ind;a;den;7;4600
2;2016;2987;West, Charcandrick;RB;kan;a;hou;6.8;5800
2;2016;2793;Ingram, Mark;RB;nor;a;nyg;6.7;7000
2;2016;2871;Morris, Alfred;RB;dal;a;was;6.7;5300
2;2016;2929;West, Terrance;RB;bal;a;cle;6.2;5400
2;2016;2830;Vereen, Shane;RB;nyg;h;nor;6.1;5100
2;2016;2642;Forsett, Justin;RB;bal;a;cle;6.1;6600
2;2016;5484;Ferguson, Josh;RB;ind;a;den;6.1;4500
2;2016;5449;Washington, DeAndre;RB;oak;h;atl;5.7;4700
2;2016;5468;Booker, Devontae;RB;den;h;ind;5.6;5200
2;2016;5445;Henry, Derrick;RB;ten;a;det;5.4;5300
2;2016;2896;Lacy, Eddie;RB;gnb;a;min;5;7000
2;2016;2658;Jennings, Rashad;RB;nyg;h;nor;5;6300
2;2016;2913;Olawale, Jamize;RB;oak;h;atl;4.9;4500
2;2016;2933;Hyde, Carlos;RB;sfo;a;car;4.7;6100
2;2016;2998;Ajayi, Jay;RB;mia;a;nwe;4.5;4700
2;2016;2931;Sims, Charles;RB;tam;a;ari;4.3;5600
2;2016;2880;Dunbar, Lance;RB;dal;a;was;4.2;4800
2;2016;2954;White, James;RB;nwe;h;mia;3.9;5600
2;2016;2995;Abdullah, Ameer;RB;det;h;ten;3.8;6700
2;2016;2689;Woodhead, Danny;RB;sdg;h;jac;3.6;6400
2;2016;2553;Peterson, Adrian;RB;min;h;gnb;3.6;8200
2;2016;5490;Richard, Jalen;RB;oak;h;atl;3.2;4900
2;2016;5483;Washington, Dwayne;RB;det;h;ten;3.1;4500
2;2016;2873;Asiata, Matt;RB;min;h;gnb;3;4800
2;2016;2818;Rodgers, Jacquizz;RB;tam;a;ari;2.9;4700
2;2016;2869;Cadet, Travaris;RB;nor;a;nyg;2.7;5300
2;2016;2612;Stewart, Jonathan;RB;car;h;sfo;2.6;6700
2;2016;2881;Grimes, Jonathan;RB;hou;h;kan;2.6;4500
2;2016;2647;Tolbert, Mike;RB;car;h;sfo;2.5;4700
2;2016;2777;Starks, James;RB;gnb;a;min;2.4;5300
2;2016;5402;Rawls, Thomas;RB;sea;a;lar;2.3;6600
2;2016;2858;Martin, Doug;RB;tam;a;ari;2.3;7100
2;2016;2875;Draughn, Shaun;RB;sfo;a;car;2.1;4800
2;2016;2549;Kuhn, John;RB;nor;a;nyg;2;4500
2;2016;2901;Robinson, Denard;RB;jac;a;sdg;1.9;4800
2;2016;2990;Toussaint, Fitzgerald;RB;pit;h;cin;1.8;4600
2;2016;2892;Ellington, Andre;RB;ari;h;tam;1.6;4700
2;2016;5482;Janovich, Andy;RB;den;h;ind;1.6;4500
2;2016;5320;Davis, Mike;RB;sfo;a;car;1.5;4500
2;2016;5495;Foster, D.J.;RB;nwe;h;mia;1.4;
2;2016;2911;Cunningham, Benny;RB;lar;h;sea;1.4;4900
2;2016;5494;Farrow, Kenneth;RB;sdg;h;jac;1.3;4500
2;2016;2908;Juszczyk, Kyle;RB;bal;a;cle;1.3;4500
2;2016;2960;Blue, Alfred;RB;hou;h;kan;1.1;4900
2;2016;5492;Smith, Keith;RB;dal;a;was;1;
2;2016;2696;Foster, Arian;RB;mia;a;nwe;0.9;7100
2;2016;2604;Hightower, Tim;RB;nor;a;nyg;0.9;4900
2;2016;2819;Powell, Bilal;RB;nyj;a;buf;0.8;5300
2;2016;2976;Darkwa, Orleans;RB;nyg;h;nor;0.7;4500
2;2016;2963;Bibbs, Kapri;RB;den;h;ind;0.7;4500
2;2016;2864;Richardson, Daryl;RB;pit;h;cin;0.6;4500
