
Name	Team	Opp	Score	Sacks	Sack Yds	QB Hits	Tackles	Assists	Fumbles Forced	Fumbles Recovered
Von Miller	DEN	vs IND	W  34-20	3.0	20.0	4	5	2	1	0
Frank Clark	SEA	@ LA	L  3-9	2.0	11.0	2	3	1	0	0
Dante Fowler	JAX	@ SD	L  14-38	2.0	12.0	2	5	1	0	0
Melvin Ingram	SD	vs JAX	W  38-14	2.0	10.0	2	3	0	1	0
Trent Murphy	WAS	vs DAL	L  23-27	2.0	10.0	3	3	3	1	0
Brian Orakpo	TEN	@ DET	W  16-15	2.0	10.0	2	4	0	0	0
Julius Peppers	GB	@ MIN	L  14-17	1.5	11.5	4	1	1	0	0
John Simon	HOU	vs KC	W  19-12	1.5	1.0	4	4	2	1	0
Devin Taylor	DET	vs TEN	L  15-16	1.5	8.0	2	4	3	0	0
J.J. Watt	HOU	vs KC	W  19-12	1.5	5.0	2	1	4	0	1
Derek Wolfe	DEN	vs IND	W  34-20	1.5	3.5	3	3	1	0	0
Sam Acho	CHI	vs PHI	L  14-29	1.0	3.0	0	2	1	0	0
Mario Addison	CAR	vs SF	W  46-27	1.0	0.0	1	1	2	0	0
Lorenzo Alexander	BUF	vs NYJ	L  31-37	1.0	4.0	0	4	0	1	0
Vic Beasley	ATL	@ OAK	W  35-28	1.0	0.0	1	2	0	0	0
Michael Bennett	SEA	@ LA	L  3-9	1.0	9.0	2	4	0	0	0
David Bruton	WAS	vs DAL	L  23-27	1.0	2.0	1	5	1	0	0
Will Clarke	CIN	@ PIT	L  16-24	1.0	9.0	1	1	0	0	0
Landon Collins	NYG	vs NO	W  16-13	1.0	5.0	1	5	1	0	0
Jack Crawford	DAL	@ WAS	W  27-23	1.0	6.0	1	3	1	0	0
Tyrone Crawford	DAL	@ WAS	W  27-23	1.0	8.0	1	1	0	0	0
Mike Daniels	GB	@ MIN	L  14-17	1.0	9.0	4	3	1	0	0
Kevin Dodd	TEN	@ DET	W  16-15	1.0	6.0	1	3	0	0	0
Markus Golden	ARI	vs TB	W  40-7	1.0	9.0	2	1	1	0	0
Brandon Graham	PHI	@ CHI	W  29-14	1.0	1.0	1	4	0	0	0
Everson Griffen	MIN	vs GB	W  17-14	1.0	10.0	2	2	0	1	0
Tamba Hali	KC	@ HOU	L  12-19	1.0	6.0	1	2	1	0	0
Leon Hall	NYG	vs NO	W  16-13	1.0	11.0	1	3	2	0	0
William Hayes	LA	vs SEA	W  9-3	1.0	8.0	2	1	4	0	0
Gerald Hodges	SF	@ CAR	L  27-46	1.0	0.0	1	2	8	1	0
Danielle Hunter	MIN	vs GB	W  17-14	1.0	13.0	1	3	1	1	0
Kerry Hyder	DET	vs TEN	L  15-16	1.0	0.0	2	1	0	0	0
Malcolm Jenkins	PHI	@ CHI	W  29-14	1.0	10.0	1	3	1	0	0
Timmy Jernigan	BAL	@ CLE	W  25-20	1.0	5.0	3	4	2	0	0
Tom Johnson	MIN	vs GB	W  17-14	1.0	2.0	4	1	1	0	0
Derrick Johnson	KC	@ HOU	L  12-19	1.0	8.0	1	8	3	0	0
Jason Jones	MIA	@ NE	L  24-31	1.0	8.0	2	1	2	0	0
Chandler Jones	ARI	vs TB	W  40-7	1.0	10.0	3	1	0	0	0
Cameron Jordan	NO	@ NYG	L  13-16	1.0	6.0	1	4	4	0	0
Linval Joseph	MIN	vs GB	W  17-14	1.0	4.0	1	5	1	0	0
