Name	Team	Opp	Score	Rec	Yds	Avg	TD	FUM
Marvin Jones	DET	@ GB	L  27-34	6	205	34.2	2	0
T.Y. Hilton	IND	vs SD	W  26-22	8	174	21.8	1	0
Doug Baldwin	SEA	vs SF	W  37-18	8	164	20.5	1	0
Terrelle Pryor	CLE	@ MIA	L  24-30	8	144	18.0	0	0
Antonio Brown	PIT	@ PHI	L  3-34	12	140	11.7	0	0
Mike Evans	TB	vs LA	L  32-37	10	132	13.2	1	0
Darren Sproles	PHI	vs PIT	W  34-3	6	128	21.3	1	0
Odell Beckham	NYG	vs WAS	L  27-29	7	121	17.3	0	0
Jarvis Landry	MIA	vs CLE	W  30-24	7	120	17.1	1	0
Emmanuel Sanders	DEN	@ CIN	W  29-17	9	117	13.0	2	0
Michael Crabtree	OAK	@ TEN	W  17-10	8	102	12.8	0	0
Jordy Nelson	GB	vs DET	W  34-27	6	101	16.8	2	0
Jimmy Graham	SEA	vs SF	W  37-18	6	100	16.7	1	1
Adam Humphries	TB	vs LA	L  32-37	9	100	11.1	0	0
Demaryius Thomas	DEN	@ CIN	W  29-17	6	100	16.7	1	1
DeSean Jackson	WAS	@ NYG	W  29-27	5	96	19.2	1	0
Travis Kelce	KC	vs NYJ	W  24-3	6	89	14.8	1	0
Terrance Williams	DAL	vs CHI	W  31-17	4	88	22.0	0	1
Steve Smith	BAL	@ JAX	W  19-17	8	87	10.9	0	0
Tavon Austin	LA	@ TB	W  37-32	5	82	16.4	1	0
Travis Benjamin	SD	@ IND	L  22-26	4	82	20.5	0	1
Jamison Crowder	WAS	@ NYG	W  29-27	4	78	19.5	1	0
Zach Miller	CHI	@ DAL	L  17-31	8	78	9.8	2	0
A.J. Green	CIN	vs DEN	L  17-29	8	77	9.6	0	0
Hunter Henry	SD	@ IND	L  22-26	5	76	15.2	0	1
Kenny Stills	MIA	vs CLE	W  30-24	5	76	15.2	0	0
Cole Beasley	DAL	vs CHI	W  31-17	7	73	10.4	0	0
Sterling Shepard	NYG	vs WAS	L  27-29	5	73	14.6	1	0
John Brown	ARI	@ BUF	L  18-33	6	70	11.7	0	0
Victor Cruz	NYG	vs WAS	L  27-29	3	70	23.3	0	0
Alshon Jeffery	CHI	@ DAL	L  17-31	5	70	14.0	0	0
Kyle Rudolph	MIN	@ CAR	W  22-10	7	70	10.0	1	0
Eric Ebron	DET	@ GB	L  27-34	5	69	13.8	0	0
Charles Sims	TB	vs LA	L  32-37	6	69	11.5	0	0
Tyrell Williams	SD	@ IND	L  22-26	6	69	11.5	0	0
Gary Barnidge	CLE	@ MIA	L  24-30	5	66	13.2	0	0
Jack Doyle	IND	vs SD	W  26-22	6	65	10.8	0	0
Michael Floyd	ARI	@ BUF	L  18-33	4	65	16.2	0	0
Greg Olsen	CAR	vs MIN	L  10-22	6	64	10.7	0	0
Amari Cooper	OAK	@ TEN	W  17-10	4	62	15.5	0	0
Ted Ginn	CAR	vs MIN	L  10-22	3	62	20.7	0	0
Kevin White	CHI	@ DAL	L  17-31	6	62	10.3	0	0
Brent Celek	PHI	vs PIT	W  34-3	3	61	20.3	0	0
Larry Fitzgerald	ARI	@ BUF	L  18-33	7	60	8.6	0	0
Jace Amaro	TEN	vs OAK	L  10-17	3	59	19.7	0	0
Pierre Garcon	WAS	@ NYG	W  29-27	5	59	11.8	0	0
Corey Brown	CAR	vs MIN	L  10-22	4	57	14.2	0	0
Allen Robinson	JAX	vs BAL	L  17-19	7	57	8.1	2	0
DeAndre Hopkins	HOU	@ NE	L  0-27	4	56	14.0	0	0
Jordan Reed	WAS	@ NYG	W  29-27	4	56	14.0	0	0
Brian Quick	LA	@ TB	W  37-32	2	53	26.5	1	0
Ryan Griffin	HOU	@ NE	L  0-27	8	52	6.5	0	0
DeVante Parker	MIA	vs CLE	W  30-24	3	51	17.0	1	0
Robert Woods	BUF	vs ARI	W  33-18	6	51	8.5	0	0
Sammie Coates	PIT	@ PHI	L  3-34	3	50	16.7	0	0
Jaron Brown	ARI	@ BUF	L  18-33	3	49	16.3	0	0
Tajae Sharpe	TEN	vs OAK	L  10-17	3	48	16.0	0	0
Jordan Howard	CHI	@ DAL	L  17-31	4	47	11.8	0	0
Cameron Brate	TB	vs LA	L  32-37	5	46	9.2	2	0
Dion Sims	MIA	vs CLE	W  30-24	4	46	11.5	0	0
Chris Conley	KC	vs NYJ	W  24-3	3	44	14.7	0	0
Marqise Lee	JAX	vs BAL	L  17-19	5	44	8.8	0	0
Melvin Gordon	SD	@ IND	L  22-26	4	43	10.8	0	0
Dennis Pitta	BAL	@ JAX	W  19-17	6	42	7.0	0	0
DeMarco Murray	TEN	vs OAK	L  10-17	5	41	8.2	0	0
Bilal Powell	NYJ	@ KC	L  3-24	6	41	6.8	0	1
Dez Bryant	DAL	vs CHI	W  31-17	3	40	13.3	1	0
Stefon Diggs	MIN	@ CAR	W  22-10	4	40	10.0	0	0
Allen Hurns	JAX	vs BAL	L  17-19	4	40	10.0	0	0
